# r                 p(r)             
  1.17762e-01       0.00000e+00      
  3.53286e-01       2.76863e-07      
  5.88809e-01       1.38431e-06      
  8.24333e-01       2.14568e-06      
  1.05986e+00       4.22215e-06      
  1.29538e+00       6.16019e-06      
  1.53090e+00       1.05208e-05      
  1.76643e+00       1.22512e-05      
  2.00195e+00       1.46737e-05      
  2.23748e+00       1.81345e-05      
  2.47300e+00       2.42255e-05      
  2.70852e+00       2.96243e-05      
  2.94405e+00       3.21853e-05      
  3.17957e+00       3.91068e-05      
  3.41509e+00       4.20139e-05      
  3.65062e+00       4.94200e-05      
  3.88614e+00       6.09790e-05      
  4.12167e+00       6.23633e-05      
  4.35719e+00       6.55472e-05      
  4.59271e+00       7.65525e-05      
  4.82824e+00       8.76962e-05      
  5.06376e+00       9.35103e-05      
  5.29928e+00       9.98090e-05      
  5.53481e+00       1.07007e-04      
  5.77033e+00       1.22235e-04      
  6.00585e+00       1.24657e-04      
  6.24138e+00       1.35593e-04      
  6.47690e+00       1.42515e-04      
  6.71243e+00       1.56220e-04      
  6.94795e+00       1.78230e-04      
  7.18347e+00       1.77953e-04      
  7.41900e+00       1.89928e-04      
  7.65452e+00       1.94911e-04      
  7.89004e+00       2.06609e-04      
  8.12557e+00       2.25089e-04      
  8.36109e+00       2.37894e-04      
  8.59661e+00       2.54091e-04      
  8.83214e+00       2.58036e-04      
  9.06766e+00       2.72848e-04      
  9.30319e+00       2.89529e-04      
  9.53871e+00       2.97420e-04      
  9.77423e+00       3.25383e-04      
  1.00098e+01       3.20953e-04      
  1.02453e+01       3.40541e-04      
  1.04808e+01       3.52931e-04      
  1.07163e+01       3.74872e-04      
  1.09519e+01       3.82347e-04      
  1.11874e+01       4.02558e-04      
  1.14229e+01       4.12733e-04      
  1.16584e+01       4.32044e-04      
  1.18939e+01       4.40627e-04      
  1.21295e+01       4.56892e-04      
  1.23650e+01       4.70528e-04      
  1.26005e+01       4.91154e-04      
  1.28360e+01       5.08389e-04      
  1.30716e+01       5.21332e-04      
  1.33071e+01       5.41059e-04      
  1.35426e+01       5.56425e-04      
  1.37781e+01       5.81688e-04      
  1.40137e+01       5.81757e-04      
  1.42492e+01       6.09513e-04      
  1.44847e+01       6.23079e-04      
  1.47202e+01       6.34846e-04      
  1.49558e+01       6.56649e-04      
  1.51913e+01       6.84612e-04      
  1.54268e+01       6.91880e-04      
  1.56623e+01       7.09322e-04      
  1.58979e+01       7.36593e-04      
  1.61334e+01       7.46145e-04      
  1.63689e+01       7.67532e-04      
  1.66044e+01       7.99233e-04      
  1.68399e+01       7.99302e-04      
  1.70755e+01       7.92173e-04      
  1.73110e+01       8.51352e-04      
  1.75465e+01       8.61527e-04      
  1.77820e+01       8.73017e-04      
  1.80176e+01       8.83122e-04      
  1.82531e+01       9.20568e-04      
  1.84886e+01       9.29981e-04      
  1.87241e+01       9.49293e-04      
  1.89597e+01       9.61405e-04      
  1.91952e+01       9.89576e-04      
  1.94307e+01       9.92552e-04      
  1.96662e+01       1.01602e-03      
  1.99018e+01       1.04121e-03      
  2.01373e+01       1.06101e-03      
  2.03728e+01       1.07485e-03      
  2.06083e+01       1.07478e-03      
  2.08438e+01       1.10738e-03      
  2.10794e+01       1.13915e-03      
  2.13149e+01       1.14704e-03      
  2.15504e+01       1.15625e-03      
  2.17859e+01       1.16490e-03      
  2.20215e+01       1.19189e-03      
  2.22570e+01       1.21487e-03      
  2.24925e+01       1.23128e-03      
  2.27280e+01       1.26637e-03      
  2.29636e+01       1.26665e-03      
  2.31991e+01       1.30465e-03      
  2.34346e+01       1.31468e-03      
  2.36701e+01       1.32679e-03      
  2.39057e+01       1.35365e-03      
  2.41412e+01       1.38411e-03      
  2.43767e+01       1.38950e-03      
  2.46122e+01       1.40785e-03      
  2.48477e+01       1.41795e-03      
  2.50833e+01       1.44273e-03      
  2.53188e+01       1.45076e-03      
  2.55543e+01       1.47568e-03      
  2.57898e+01       1.49215e-03      
  2.60254e+01       1.50288e-03      
  2.62609e+01       1.52011e-03      
  2.64964e+01       1.55417e-03      
  2.67319e+01       1.58545e-03      
  2.69675e+01       1.60421e-03      
  2.72030e+01       1.61432e-03      
  2.74385e+01       1.61065e-03      
  2.76740e+01       1.63882e-03      
  2.79096e+01       1.65965e-03      
  2.81451e+01       1.66824e-03      
  2.83806e+01       1.69668e-03      
  2.86161e+01       1.70277e-03      
  2.88517e+01       1.73212e-03      
  2.90872e+01       1.71828e-03      
  2.93227e+01       1.76486e-03      
  2.95582e+01       1.77711e-03      
  2.97937e+01       1.78473e-03      
