# x y z sld
-80.865388 -55.793658 90.293272 1.000000
2.320316 -100.861702 -83.211570 1.000000
-70.340274 125.969245 -39.920857 1.000000
-110.103226 -30.516058 94.588584 1.000000
-2.531477 95.277952 62.479014 1.000000
51.679572 23.332327 9.464561 1.000000
93.015064 64.358822 -43.359430 1.000000
54.144645 74.385731 -36.691848 1.000000
-23.657386 -144.393663 -25.857584 1.000000
84.511970 83.879594 45.599795 1.000000
5.959075 -63.924900 -109.719885 1.000000
20.346086 -11.983153 -100.938086 1.000000
-94.065031 -101.342942 8.528501 1.000000
9.109246 -145.722316 -14.238080 1.000000
-110.336973 62.322754 64.466388 1.000000
50.508911 15.082804 56.443736 1.000000
-60.017476 -85.547224 91.096838 1.000000
83.888796 35.480699 5.625530 1.000000
67.111121 30.538720 -12.436672 1.000000
14.829583 -84.843215 -42.177528 1.000000
-38.106365 -15.215602 -14.808655 1.000000
106.849285 -71.481331 27.215227 1.000000
67.488768 -68.058302 85.434620 1.000000
-93.243626 100.988817 41.347511 1.000000
-11.627185 -68.210666 -75.479143 1.000000
-58.711380 -6.479547 104.577103 1.000000
55.595784 -100.892435 84.118979 1.000000
-69.631494 25.793146 -103.486919 1.000000
-28.661654 111.413100 -43.389869 1.000000
92.958476 -58.609199 -13.547079 1.000000
121.607390 3.526601 40.743902 1.000000
-40.368883 -126.201997 6.555347 1.000000
-16.579170 -86.113452 -6.815388 1.000000
57.182908 89.138151 -63.612945 1.000000
11.325192 -117.216350 -7.010069 1.000000
33.218297 -9.468838 52.705378 1.000000
-1.589896 -60.256418 -7.572669 1.000000
13.977269 110.726022 -86.221568 1.000000
31.116593 -127.707225 20.966921 1.000000
9.564831 52.958415 -47.801051 1.000000
-112.128284 -70.532007 -50.497686 1.000000
63.490165 -53.270233 -12.166418 1.000000
-87.950640 22.960456 -91.651899 1.000000
-6.154710 47.646911 12.523952 1.000000
-27.479455 3.620329 -68.603804 1.000000
63.872430 -29.983357 -15.071805 1.000000
-4.566003 69.247298 -60.786748 1.000000
32.656307 -110.432801 37.107775 1.000000
-7.485691 -42.555257 -34.934330 1.000000
0.380211 84.838580 -35.077720 1.000000
-31.678819 127.671004 -65.558297 1.000000
-85.107785 89.687405 -12.359476 1.000000
24.902263 -38.954911 62.304268 1.000000
-11.629470 -42.445776 140.950191 1.000000
39.600701 -1.795552 34.925379 1.000000
77.780136 15.181877 -58.094522 1.000000
-20.361267 66.202610 30.833184 1.000000
-2.564058 -134.474280 26.410584 1.000000
4.047054 80.936990 -62.048849 1.000000
14.315000 -31.941370 -15.279653 1.000000
-40.174131 -55.858023 -88.632785 1.000000
92.406120 50.757257 -91.893712 1.000000
62.339615 -111.200043 30.045067 1.000000
18.849562 138.710135 -51.548679 1.000000
-1.776409 82.138882 -2.148261 1.000000
45.747637 123.194153 14.456226 1.000000
27.314564 -110.465340 37.035094 1.000000
-83.842304 80.732628 -24.161018 1.000000
-24.065146 8.549961 13.600106 1.000000
-10.120389 -149.256324 -7.954130 1.000000
-52.852820 -41.841181 -53.176642 1.000000
29.411447 -39.972543 -53.102468 1.000000
44.020807 -24.429000 31.148122 1.000000
23.298892 -112.213422 30.908607 1.000000
-101.932047 39.559465 -51.145044 1.000000
-104.119727 75.917359 -34.856529 1.000000
94.361626 -75.447166 31.612080 1.000000
88.046498 -64.099592 -10.106446 1.000000
79.688339 19.403719 122.928383 1.000000
64.553424 94.837917 92.447012 1.000000
25.609227 68.283619 -16.789820 1.000000
73.741454 -123.899168 5.536409 1.000000
-25.750979 73.934240 97.150841 1.000000
-25.996183 58.881143 -23.057996 1.000000
-37.761997 63.699270 74.036756 1.000000
35.590161 105.867698 -28.809934 1.000000
132.729470 -27.963656 29.667985 1.000000
-78.274514 3.937237 -66.290973 1.000000
67.115039 -13.033639 -123.873965 1.000000
67.397767 89.416914 -53.757652 1.000000
123.525183 77.902369 -29.539361 1.000000
-6.741366 -13.740978 -118.656559 1.000000
12.326164 121.715258 -41.689239 1.000000
-12.061784 9.294427 -110.473196 1.000000
33.555384 68.496995 26.087129 1.000000
-49.924063 80.951914 73.857774 1.000000
119.386470 -28.189749 40.874227 1.000000
-34.700985 78.884567 2.217681 1.000000
78.017376 -71.538117 70.622886 1.000000
73.248170 43.651909 67.668654 1.000000
37.226769 -24.700497 -65.346573 1.000000
53.757849 -25.212792 -100.031003 1.000000
9.285056 18.664218 77.898655 1.000000
-35.458652 -87.821056 32.597966 1.000000
121.340990 67.713532 31.369530 1.000000
80.127283 8.716053 56.060088 1.000000
-96.551249 -50.427791 -52.714576 1.000000
-19.551220 31.493086 21.633333 1.000000
44.088457 -67.134988 -59.586526 1.000000
81.249370 2.630624 113.129018 1.000000
-21.217432 60.650606 -35.699066 1.000000
-4.805949 16.407201 -108.937454 1.000000
59.216843 116.828522 42.109323 1.000000
-14.797597 114.234711 1.446805 1.000000
-37.674265 -25.915309 61.584136 1.000000
-76.852228 -13.672420 -24.998561 1.000000
129.397290 -55.423189 15.665886 1.000000
112.892484 -91.452782 -8.122286 1.000000
-115.630274 -79.625092 -45.197119 1.000000
-20.460636 -106.580626 44.655253 1.000000
48.269559 79.001859 -32.073498 1.000000
-10.328350 49.063552 108.855940 1.000000
-12.079983 -82.750222 73.783803 1.000000
29.963966 -13.836019 -87.109931 1.000000
-55.354804 91.133989 -23.465559 1.000000
-35.491068 31.941903 -48.398981 1.000000
47.060843 41.281038 -55.684159 1.000000
37.316147 -0.614599 -71.912719 1.000000
-22.650453 -71.071878 53.442502 1.000000
3.756359 78.017843 -80.938353 1.000000
-5.821813 -90.422519 -19.971983 1.000000
-103.177333 -60.572539 -55.498601 1.000000
-28.030761 -65.950510 93.225821 1.000000
81.969029 7.652482 55.554818 1.000000
-0.625605 85.293993 -85.757061 1.000000
-20.173981 -4.215529 -126.500615 1.000000
-100.796595 96.594355 32.890568 1.000000
-79.606044 50.636763 41.867483 1.000000
-103.684180 -45.184914 -0.125546 1.000000
93.776989 -93.121370 70.883819 1.000000
71.001413 30.391432 -22.395910 1.000000
118.903347 -42.759833 -29.069871 1.000000
-12.688533 -29.594310 64.809021 1.000000
-67.130192 -104.442650 1.555387 1.000000
23.864510 50.205831 -120.754673 1.000000
63.835008 -25.528201 61.632142 1.000000
-31.645975 -142.841627 10.247693 1.000000
57.977020 -40.863947 -105.682441 1.000000
-98.938869 84.559952 13.101915 1.000000
-8.986492 46.463943 -119.358999 1.000000
2.697957 44.803512 -63.679688 1.000000
63.041846 50.340507 -119.286819 1.000000
11.515245 -92.931216 104.283055 1.000000
-64.220663 5.762643 107.381675 1.000000
-12.728806 75.088142 -100.161136 1.000000
3.144233 13.767951 78.759193 1.000000
-9.665457 134.251506 49.300723 1.000000
122.986183 -75.769758 -21.075125 1.000000
-19.336862 -6.630218 -140.478952 1.000000
75.718779 -66.654759 42.475276 1.000000
41.684980 10.963227 71.565210 1.000000
61.530175 -33.410579 2.272878 1.000000
-102.447835 81.674559 -59.461389 1.000000
-54.495474 -39.520183 108.808812 1.000000
-136.679841 -17.019361 -12.588406 1.000000
