# Theoretical SAS data
# q            I           
  1.00000e-03  9.92011e-01 
  2.25063e-03  9.60095e-01 
  3.50125e-03  9.05771e-01 
  4.75188e-03  8.32422e-01 
  6.00251e-03  7.44490e-01 
  7.25313e-03  6.47080e-01 
  8.50376e-03  5.45528e-01 
  9.75439e-03  4.44968e-01 
  1.10050e-02  3.49947e-01 
  1.22556e-02  2.64120e-01 
  1.35063e-02  1.90052e-01 
  1.47569e-02  1.29146e-01 
  1.60075e-02  8.16810e-02 
  1.72581e-02  4.69536e-02 
  1.85088e-02  2.34954e-02 
  1.97594e-02  9.33354e-03 
  2.10100e-02  2.26089e-03 
  2.22607e-02  8.52989e-05 
  2.35113e-02  8.33555e-04 
  2.47619e-02  2.89354e-03 
  2.60125e-02  5.08865e-03 
  2.72632e-02  6.68734e-03 
  2.85138e-02  7.35854e-03 
  2.97644e-02  7.08877e-03 
  3.10150e-02  6.07937e-03 
  3.22657e-02  4.64140e-03 
  3.35163e-02  3.10319e-03 
  3.47669e-02  1.74077e-03 
  3.60175e-02  7.36273e-04 
  3.72682e-02  1.64135e-04 
  3.85188e-02  8.06996e-07 
  3.97694e-02  1.50781e-04 
  4.10201e-02  4.80624e-04 
  4.22707e-02  8.53049e-04 
  4.35213e-02  1.15467e-03 
  4.47719e-02  1.31353e-03 
  4.60226e-02  1.30501e-03 
  4.72732e-02  1.14730e-03 
  4.85238e-02  8.89197e-04 
  4.97744e-02  5.94040e-04 
  5.10251e-02  3.23628e-04 
  5.22757e-02  1.25313e-04 
  5.35263e-02  2.42901e-05 
  5.47769e-02  2.17544e-05 
  5.60276e-02  9.83395e-05 
  5.72782e-02  2.21271e-04 
  5.85288e-02  3.53195e-04 
  5.97794e-02  4.60611e-04 
  6.10301e-02  5.20244e-04 
  6.22807e-02  5.22343e-04 
  6.35313e-02  4.70700e-04 
  6.47820e-02  3.79847e-04 
  6.60326e-02  2.70447e-04 
  6.72832e-02  1.64070e-04 
  6.85338e-02  7.85600e-05 
  6.97845e-02  2.48524e-05 
  7.10351e-02  5.71579e-06 
  7.22857e-02  1.64069e-05 
  7.35363e-02  4.68273e-05 
  7.47870e-02  8.45125e-05 
  7.60376e-02  1.17695e-04 
  7.72882e-02  1.37772e-04 
  7.85388e-02  1.40724e-04 
  7.97895e-02  1.27318e-04 
  8.10401e-02  1.02213e-04 
  8.22907e-02  7.23156e-05 
  8.35414e-02  4.48453e-05 
  8.47920e-02  2.55801e-05 
  8.60426e-02  1.76590e-05 
  8.72932e-02  2.11389e-05 
  8.85439e-02  3.33188e-05 
  8.97945e-02  4.96679e-05 
  9.10451e-02  6.50767e-05 
  9.22957e-02  7.51098e-05 
  9.35464e-02  7.69733e-05 
  9.47970e-02  7.00068e-05 
  9.60476e-02  5.56355e-05 
  9.72982e-02  3.68501e-05 
  9.85489e-02  1.73809e-05 
  9.97995e-02  7.85415e-07 
  1.01050e-01  -1.03335e-05
  1.02301e-01  -1.48125e-05
  1.03551e-01  -1.30350e-05
  1.04802e-01  -6.67301e-06
  1.06053e-01  1.84146e-06 
  1.07303e-01  9.96562e-06 
  1.08554e-01  1.56548e-05 
  1.09805e-01  1.77924e-05 
  1.11055e-01  1.63566e-05 
  1.12306e-01  1.23093e-05 
  1.13556e-01  7.25698e-06 
  1.14807e-01  2.98461e-06 
  1.16058e-01  9.81746e-07 
  1.17308e-01  2.07558e-06 
  1.18559e-01  6.24951e-06 
  1.19810e-01  1.26771e-05 
  1.21060e-01  1.99490e-05 
  1.22311e-01  2.64267e-05 
  1.23561e-01  3.06320e-05 
  1.24812e-01  3.15803e-05 
  1.26063e-01  2.89829e-05 
  1.27313e-01  2.32818e-05 
  1.28564e-01  1.55183e-05 
  1.29815e-01  7.07722e-06 
  1.31065e-01  -6.26958e-07
  1.32316e-01  -6.44812e-06
  1.33566e-01  -9.72387e-06
  1.34817e-01  -1.03668e-05
  1.36068e-01  -8.82064e-06
  1.37318e-01  -5.90256e-06
  1.38569e-01  -2.57672e-06
  1.39820e-01  2.83009e-07 
  1.41070e-01  2.08568e-06 
  1.42321e-01  2.63022e-06 
  1.43571e-01  2.10891e-06 
  1.44822e-01  1.01501e-06 
  1.46073e-01  -1.57098e-08
  1.47323e-01  -3.86715e-07
  1.48574e-01  2.99968e-07 
  1.49825e-01  2.14369e-06 
  1.51075e-01  4.92493e-06 
  1.52326e-01  8.16503e-06 
  1.53576e-01  1.12471e-05 
  1.54827e-01  1.35656e-05 
  1.56078e-01  1.46684e-05 
  1.57328e-01  1.43560e-05 
  1.58579e-01  1.27197e-05 
  1.59830e-01  1.01097e-05 
  1.61080e-01  7.04665e-06 
  1.62331e-01  4.09896e-06 
  1.63581e-01  1.75634e-06 
  1.64832e-01  3.29246e-07 
  1.66083e-01  -1.04401e-07
  1.67333e-01  3.04311e-07 
  1.68584e-01  1.23124e-06 
  1.69835e-01  2.27124e-06 
  1.71085e-01  3.04272e-06 
  1.72336e-01  3.27934e-06 
  1.73586e-01  2.88841e-06 
  1.74837e-01  1.96434e-06 
  1.76088e-01  7.56615e-07 
  1.77338e-01  -3.97177e-07
  1.78589e-01  -1.15569e-06
  1.79840e-01  -1.25458e-06
  1.81090e-01  -5.65175e-07
  1.82341e-01  8.81345e-07 
  1.83591e-01  2.90764e-06 
  1.84842e-01  5.23608e-06 
  1.86093e-01  7.55381e-06 
  1.87343e-01  9.58068e-06 
  1.88594e-01  1.11236e-05 
  1.89845e-01  1.21060e-05 
  1.91095e-01  1.25667e-05 
  1.92346e-01  1.26323e-05 
  1.93596e-01  1.24702e-05 
  1.94847e-01  1.22383e-05 
  1.96098e-01  1.20413e-05 
  1.97348e-01  1.19075e-05 
  1.98599e-01  1.17892e-05 
  1.99850e-01  1.15862e-05 
  2.01100e-01  1.11846e-05 
  2.02351e-01  1.05001e-05 
  2.03602e-01  9.51467e-06 
  2.04852e-01  8.29468e-06 
  2.06103e-01  6.98684e-06 
  2.07353e-01  5.79170e-06 
  2.08604e-01  4.92090e-06 
  2.09855e-01  4.54835e-06 
  2.11105e-01  4.76706e-06 
  2.12356e-01  5.56225e-06 
  2.13607e-01  6.80739e-06 
  2.14857e-01  8.28456e-06 
  2.16108e-01  9.72503e-06 
  2.17358e-01  1.08612e-05 
  2.18609e-01  1.14786e-05 
  2.19860e-01  1.14566e-05 
  2.21110e-01  1.07899e-05 
  2.22361e-01  9.58523e-06 
  2.23612e-01  8.03611e-06 
  2.24862e-01  6.38084e-06 
  2.26113e-01  4.85314e-06 
  2.27363e-01  3.63653e-06 
  2.28614e-01  2.83165e-06 
  2.29865e-01  2.44280e-06 
  2.31115e-01  2.38562e-06 
  2.32366e-01  2.51286e-06 
  2.33617e-01  2.65180e-06 
  2.34867e-01  2.64448e-06 
  2.36118e-01  2.38187e-06 
  2.37368e-01  1.82500e-06 
  2.38619e-01  1.00947e-06 
  2.39870e-01  3.33734e-08 
  2.41120e-01  -9.67325e-07
  2.42371e-01  -1.84978e-06
  2.43622e-01  -2.49419e-06
  2.44872e-01  -2.82622e-06
  2.46123e-01  -2.82756e-06
  2.47373e-01  -2.53326e-06
  2.48624e-01  -2.01770e-06
  2.49875e-01  -1.37331e-06
  2.51125e-01  -6.87798e-07
  2.52376e-01  -2.50575e-08
  2.53627e-01  5.85766e-07 
  2.54877e-01  1.15142e-06 
  2.56128e-01  1.70637e-06 
  2.57378e-01  2.29811e-06 
  2.58629e-01  2.97022e-06 
  2.59880e-01  3.74747e-06 
  2.61130e-01  4.62679e-06 
  2.62381e-01  5.57590e-06 
  2.63632e-01  6.53968e-06 
  2.64882e-01  7.45229e-06 
  2.66133e-01  8.25165e-06 
  2.67383e-01  8.89271e-06 
  2.68634e-01  9.35614e-06 
  2.69885e-01  9.65044e-06 
  2.71135e-01  9.80732e-06 
  2.72386e-01  9.87168e-06 
  2.73637e-01  9.88885e-06 
  2.74887e-01  9.89250e-06 
  2.76138e-01  9.89604e-06 
  2.77388e-01  9.88982e-06 
  2.78639e-01  9.84439e-06 
  2.79890e-01  9.71919e-06 
  2.81140e-01  9.47424e-06 
  2.82391e-01  9.08196e-06 
  2.83642e-01  8.53636e-06 
  2.84892e-01  7.85719e-06 
  2.86143e-01  7.08830e-06 
  2.87393e-01  6.29049e-06 
  2.88644e-01  5.53070e-06 
  2.89895e-01  4.86985e-06 
  2.91145e-01  4.35223e-06 
  2.92396e-01  3.99864e-06 
  2.93647e-01  3.80470e-06 
  2.94897e-01  3.74436e-06 
  2.96148e-01  3.77765e-06 
  2.97398e-01  3.86072e-06 
  2.98649e-01  3.95573e-06 
  2.99900e-01  4.03842e-06 
  3.01150e-01  4.10188e-06 
  3.02401e-01  4.15575e-06 
  3.03652e-01  4.22149e-06 
  3.04902e-01  4.32487e-06 
  3.06153e-01  4.48775e-06 
  3.07404e-01  4.72083e-06 
  3.08654e-01  5.01911e-06 
  3.09905e-01  5.36086e-06 
  3.11155e-01  5.71013e-06 
  3.12406e-01  6.02195e-06 
  3.13657e-01  6.24913e-06 
  3.14907e-01  6.34904e-06 
  3.16158e-01  6.28919e-06 
  3.17409e-01  6.05059e-06 
  3.18659e-01  5.62885e-06 
  3.19910e-01  5.03316e-06 
  3.21160e-01  4.28395e-06 
  3.22411e-01  3.41007e-06 
  3.23662e-01  2.44635e-06 
  3.24912e-01  1.43182e-06 
  3.26163e-01  4.08905e-07 
  3.27414e-01  -5.77111e-07
  3.28664e-01  -1.47862e-06
  3.29915e-01  -2.24705e-06
  3.31165e-01  -2.83534e-06
  3.32416e-01  -3.20170e-06
  3.33667e-01  -3.31402e-06
  3.34917e-01  -3.15451e-06
  3.36168e-01  -2.72325e-06
  3.37419e-01  -2.04000e-06
  3.38669e-01  -1.14356e-06
  3.39920e-01  -8.84678e-08
  3.41170e-01  1.06049e-06 
  3.42421e-01  2.23506e-06 
  3.43672e-01  3.37059e-06 
  3.44922e-01  4.41196e-06 
  3.46173e-01  5.31759e-06 
  3.47424e-01  6.06090e-06 
  3.48674e-01  6.62928e-06 
  3.49925e-01  7.02120e-06 
  3.51175e-01  7.24232e-06 
  3.52426e-01  7.30181e-06 
  3.53677e-01  7.20978e-06 
  3.54927e-01  6.97635e-06 
  3.56178e-01  6.61251e-06 
  3.57429e-01  6.13226e-06 
  3.58679e-01  5.55504e-06 
  3.59930e-01  4.90763e-06 
  3.61180e-01  4.22435e-06 
  3.62431e-01  3.54527e-06 
  3.63682e-01  2.91218e-06 
  3.64932e-01  2.36319e-06 
  3.66183e-01  1.92684e-06 
  3.67434e-01  1.61707e-06 
  3.68684e-01  1.43051e-06 
  3.69935e-01  1.34660e-06 
  3.71185e-01  1.33116e-06 
  3.72436e-01  1.34274e-06 
  3.73687e-01  1.34069e-06 
  3.74937e-01  1.29338e-06 
  3.76188e-01  1.18498e-06 
  3.77439e-01  1.01913e-06 
  3.78689e-01  8.18895e-07 
  3.79940e-01  6.22678e-07 
  3.81190e-01  4.76900e-07 
  3.82441e-01  4.26808e-07 
  3.83692e-01  5.07227e-07 
  3.84942e-01  7.35097e-07 
  3.86193e-01  1.10531e-06 
  3.87444e-01  1.59068e-06 
  3.88694e-01  2.14611e-06 
  3.89945e-01  2.71611e-06 
  3.91195e-01  3.24419e-06 
  3.92446e-01  3.68230e-06 
  3.93697e-01  3.99851e-06 
  3.94947e-01  4.18150e-06 
  3.96198e-01  4.24096e-06 
  3.97449e-01  4.20415e-06 
  3.98699e-01  4.10925e-06 
  3.99950e-01  3.99698e-06 
  4.01201e-01  3.90223e-06 
  4.02451e-01  3.84728e-06 
  4.03702e-01  3.83793e-06 
  4.04952e-01  3.86320e-06 
  4.06203e-01  3.89849e-06 
  4.07454e-01  3.91149e-06 
  4.08704e-01  3.86955e-06 
  4.09955e-01  3.74705e-06 
  4.11206e-01  3.53133e-06 
  4.12456e-01  3.22610e-06 
  4.13707e-01  2.85176e-06 
  4.14957e-01  2.44272e-06 
  4.16208e-01  2.04224e-06 
  4.17459e-01  1.69590e-06 
  4.18709e-01  1.44472e-06 
  4.19960e-01  1.31927e-06 
  4.21211e-01  1.33554e-06 
  4.22461e-01  1.49302e-06 
  4.23712e-01  1.77525e-06 
  4.24962e-01  2.15239e-06 
  4.26213e-01  2.58513e-06 
  4.27464e-01  3.02948e-06 
  4.28714e-01  3.44141e-06 
  4.29965e-01  3.78094e-06 
  4.31216e-01  4.01538e-06 
  4.32466e-01  4.12134e-06 
  4.33717e-01  4.08588e-06 
  4.34967e-01  3.90673e-06 
  4.36218e-01  3.59201e-06 
  4.37469e-01  3.15942e-06 
  4.38719e-01  2.63523e-06 
  4.39970e-01  2.05288e-06 
  4.41221e-01  1.45124e-06 
  4.42471e-01  8.72413e-07 
  4.43722e-01  3.59021e-07 
  4.44972e-01  -4.88588e-08
  4.46223e-01  -3.17046e-07
  4.47474e-01  -4.20501e-07
  4.48724e-01  -3.46115e-07
  4.49975e-01  -9.46061e-08
  4.51226e-01  3.18801e-07 
  4.52476e-01  8.65172e-07 
  4.53727e-01  1.50416e-06 
  4.54977e-01  2.18764e-06 
  4.56228e-01  2.86437e-06 
  4.57479e-01  3.48511e-06 
  4.58729e-01  4.00760e-06 
  4.59980e-01  4.40085e-06 
  4.61231e-01  4.64814e-06 
  4.62481e-01  4.74842e-06 
  4.63732e-01  4.71579e-06 
  4.64982e-01  4.57735e-06 
  4.66233e-01  4.36940e-06 
  4.67484e-01  4.13276e-06 
  4.68734e-01  3.90750e-06 
  4.69985e-01  3.72805e-06 
  4.71236e-01  3.61904e-06 
  4.72486e-01  3.59261e-06 
  4.73737e-01  3.64735e-06 
  4.74987e-01  3.76915e-06 
  4.76238e-01  3.93369e-06 
  4.77489e-01  4.11026e-06 
  4.78739e-01  4.26633e-06 
  4.79990e-01  4.37222e-06 
  4.81241e-01  4.40515e-06 
  4.82491e-01  4.35211e-06 
  4.83742e-01  4.21115e-06 
  4.84992e-01  3.99091e-06 
  4.86243e-01  3.70855e-06 
  4.87494e-01  3.38646e-06 
  4.88744e-01  3.04834e-06 
  4.89995e-01  2.71537e-06 
  4.91246e-01  2.40311e-06 
  4.92496e-01  2.11964e-06 
  4.93747e-01  1.86532e-06 
  4.94997e-01  1.63398e-06 
  4.96248e-01  1.41550e-06 
  4.97499e-01  1.19895e-06 
  4.98749e-01  9.75894e-07 
  5.00000e-01  7.42974e-07 
