# Simulated SAS data with noise
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-03  3.29689e+01  1.21546e-01 
  2.25063e-03  3.22013e+01  7.97052e-02 
  3.50125e-03  3.03485e+01  6.20697e-02 
  4.75188e-03  2.77779e+01  5.10766e-02 
  6.00251e-03  2.49801e+01  4.29782e-02 
  7.25313e-03  2.17047e+01  3.64504e-02 
  8.50376e-03  1.82862e+01  3.09095e-02 
  9.75439e-03  1.48884e+01  2.60650e-02 
  1.10050e-02  1.17060e+01  2.17624e-02 
  1.22556e-02  8.84381e+00  1.79160e-02 
  1.35063e-02  6.35388e+00  1.44775e-02 
  1.47569e-02  4.32263e+00  1.14181e-02 
  1.60075e-02  2.73059e+00  8.71953e-03 
  1.72581e-02  1.58229e+00  6.36829e-03 
  1.85088e-02  7.83511e-01  4.35214e-03 
  1.97594e-02  3.14600e-01  2.65880e-03 
  2.10100e-02  7.56979e-02  1.27884e-03 
  2.22607e-02  2.99760e-03  2.96919e-04 
  2.35113e-02  2.74295e-02  7.46594e-04 
  2.47619e-02  9.66981e-02  1.32970e-03 
  2.60125e-02  1.71061e-01  1.71457e-03 
  2.72632e-02  2.21321e-01  1.91785e-03 
  2.85138e-02  2.47228e-01  1.96656e-03 
  2.97644e-02  2.36369e-01  1.88941e-03 
  3.10150e-02  2.03729e-01  1.71502e-03 
  3.22657e-02  1.51811e-01  1.47092e-03 
  3.35163e-02  1.04279e-01  1.18298e-03 
  3.47669e-02  5.77503e-02  8.74947e-04 
  3.60175e-02  2.46978e-02  5.68890e-04 
  3.72682e-02  5.82293e-03  2.90105e-04 
  3.85188e-02  -1.50013e-04 1.35220e-04 
  3.97694e-02  5.13576e-03  2.71785e-04 
  4.10201e-02  1.53798e-02  4.37446e-04 
  4.22707e-02  2.98055e-02  5.62938e-04 
  4.35213e-02  3.82577e-02  6.41093e-04 
  4.47719e-02  4.39409e-02  6.72575e-04 
  4.60226e-02  4.37615e-02  6.61293e-04 
  4.72732e-02  3.86907e-02  6.13236e-04 
  4.85238e-02  2.91555e-02  5.35869e-04 
  4.97744e-02  1.95551e-02  4.37761e-04 
  5.10251e-02  1.09680e-02  3.28661e-04 
  5.22757e-02  3.96431e-03  2.21225e-04 
  5.35263e-02  6.34145e-04  1.40326e-04 
  5.47769e-02  8.89131e-04  1.36207e-04 
  5.60276e-02  3.47861e-03  1.96198e-04 
  5.72782e-02  7.33201e-03  2.63845e-04 
  5.85288e-02  1.17296e-02  3.18892e-04 
  5.97794e-02  1.51641e-02  3.55420e-04 
  6.10301e-02  1.79103e-02  3.71867e-04 
  6.22807e-02  1.71728e-02  3.68796e-04 
  6.35313e-02  1.56217e-02  3.48178e-04 
  6.47820e-02  1.30532e-02  3.13054e-04 
  6.60326e-02  8.98825e-03  2.67348e-04 
  6.72832e-02  5.55726e-03  2.15875e-04 
  6.85338e-02  2.93932e-03  1.64838e-04 
  6.97845e-02  7.72623e-04  1.23384e-04 
  7.10351e-02  9.90680e-05  1.04613e-04 
  7.22857e-02  6.53607e-04  1.13829e-04 
  7.35363e-02  1.49212e-03  1.37466e-04 
  7.47870e-02  2.89837e-03  1.61508e-04 
  7.60376e-02  3.97485e-03  1.79317e-04 
  7.72882e-02  4.30216e-03  1.88421e-04 
  7.85388e-02  4.99554e-03  1.88406e-04 
  7.97895e-02  4.30356e-03  1.80107e-04 
  8.10401e-02  3.37594e-03  1.65302e-04 
  8.22907e-02  2.57213e-03  1.46626e-04 
  8.35414e-02  1.36448e-03  1.27595e-04 
  8.47920e-02  8.79680e-04  1.12503e-04 
  8.60426e-02  6.20222e-04  1.05366e-04 
  8.72932e-02  6.76693e-04  1.07409e-04 
  8.85439e-02  1.08549e-03  1.15854e-04 
  8.97945e-02  1.92315e-03  1.26280e-04 
  9.10451e-02  2.17823e-03  1.35085e-04 
  9.22957e-02  2.54541e-03  1.40069e-04 
  9.35464e-02  2.49732e-03  1.40192e-04 
  9.47970e-02  2.28646e-03  1.35278e-04 
  9.60476e-02  1.58113e-03  1.25832e-04 
  9.72982e-02  1.17936e-03  1.12938e-04 
  9.85489e-02  5.99749e-04  9.82403e-05 
  9.97995e-02  5.06515e-05  8.39876e-05 
  1.01050e-01  -3.13284e-04 7.29934e-05 
  1.02301e-01  -5.86660e-04 6.79037e-05 
  1.03551e-01  -4.62331e-04 6.93602e-05 
  1.04802e-01  -2.36940e-04 7.52158e-05 
  1.06053e-01  1.02350e-05  8.23789e-05 
  1.07303e-01  3.20340e-04  8.85137e-05 
  1.08554e-01  5.37893e-04  9.23302e-05 
  1.09805e-01  6.82741e-04  9.33685e-05 
  1.11055e-01  4.78284e-04  9.17985e-05 
  1.12306e-01  4.81234e-04  8.82975e-05 
  1.13556e-01  1.42830e-04  8.39526e-05 
  1.14807e-01  7.48344e-05  8.01067e-05 
  1.16058e-01  1.58863e-05  7.80445e-05 
  1.17308e-01  5.44284e-05  7.85167e-05 
  1.18559e-01  3.19477e-04  8.13886e-05 
  1.19810e-01  4.82401e-04  8.57547e-05 
  1.21060e-01  7.08411e-04  9.04014e-05 
  1.22311e-01  8.81911e-04  9.42206e-05 
  1.23561e-01  1.07582e-03  9.64080e-05 
  1.24812e-01  1.10658e-03  9.65117e-05 
  1.26063e-01  9.33383e-04  9.44208e-05 
  1.27313e-01  5.63848e-04  9.03374e-05 
  1.28564e-01  5.37302e-04  8.47479e-05 
  1.29815e-01  1.57494e-04  7.83882e-05 
  1.31065e-01  4.97569e-05  7.21854e-05 
  1.32316e-01  -2.20774e-04 6.71292e-05 
  1.33566e-01  -3.14791e-04 6.40227e-05 
  1.34817e-01  -2.68158e-04 6.31654e-05 
  1.36068e-01  -3.77459e-04 6.42060e-05 
  1.37318e-01  -3.70566e-04 6.63425e-05 
  1.38569e-01  -1.20936e-05 6.86951e-05 
  1.39820e-01  -1.69871e-06 7.05790e-05 
  1.41070e-01  5.01052e-05  7.16067e-05 
  1.42321e-01  9.06215e-05  7.16899e-05 
  1.43571e-01  1.67541e-04  7.09972e-05 
  1.44822e-01  1.30252e-05  6.98898e-05 
  1.46073e-01  2.59849e-05  6.88309e-05 
  1.47323e-01  -1.71692e-04 6.82640e-05 
  1.48574e-01  3.38509e-05  6.84805e-05 
  1.49825e-01  -6.20759e-06 6.95247e-05 
  1.51075e-01  2.66468e-04  7.11886e-05 
  1.52326e-01  2.19152e-04  7.30956e-05 
  1.53576e-01  3.61633e-04  7.48218e-05 
  1.54827e-01  4.25742e-04  7.60006e-05 
  1.56078e-01  4.68222e-04  7.63873e-05 
  1.57328e-01  4.48883e-04  7.58886e-05 
  1.58579e-01  4.55399e-04  7.45654e-05 
  1.59830e-01  4.51695e-04  7.26176e-05 
  1.61080e-01  2.42557e-04  7.03505e-05 
  1.62331e-01  6.66302e-05  6.81223e-05 
  1.63581e-01  3.62565e-05  6.62715e-05 
  1.64832e-01  8.04651e-05  6.50359e-05 
  1.66083e-01  -9.63945e-05 6.44898e-05 
  1.67333e-01  -1.53103e-05 6.45308e-05 
  1.68584e-01  9.11037e-05  6.49246e-05 
  1.69835e-01  3.40953e-05  6.53862e-05 
  1.71085e-01  9.06662e-05  6.56602e-05 
  1.72336e-01  8.23884e-05  6.55776e-05 
  1.73586e-01  6.87843e-05  6.50838e-05 
  1.74837e-01  2.20360e-04  6.42409e-05 
  1.76088e-01  4.07403e-05  6.32095e-05 
  1.77338e-01  -5.76723e-05 6.22124e-05 
  1.78589e-01  -1.02248e-04 6.14819e-05 
  1.79840e-01  -1.58650e-04 6.12009e-05 
  1.81090e-01  9.20787e-05  6.14522e-05 
  1.82341e-01  -8.91112e-07 6.21982e-05 
  1.83591e-01  2.02123e-04  6.32978e-05 
  1.84842e-01  1.95944e-04  6.45530e-05 
  1.86093e-01  2.84418e-04  6.57614e-05 
  1.87343e-01  3.24808e-04  6.67593e-05 
  1.88594e-01  4.53546e-04  6.74469e-05 
  1.89845e-01  2.61612e-04  6.77951e-05 
  1.91095e-01  5.20728e-04  6.78380e-05 
  1.92346e-01  4.96736e-04  6.76546e-05 
  1.93596e-01  3.03824e-04  6.73433e-05 
  1.94847e-01  4.50415e-04  6.69947e-05 
  1.96098e-01  3.40996e-04  6.66686e-05 
  1.97348e-01  4.58611e-04  6.63810e-05 
  1.98599e-01  3.90810e-04  6.61046e-05 
