# Theoretical SAS data
# q            I           
  1.00000e-06  1.00000e+00 
  6.00020e-06  1.00000e+00 
  1.10004e-05  9.99998e-01 
  1.60006e-05  9.99997e-01 
  2.10008e-05  9.99995e-01 
  2.60010e-05  9.99992e-01 
  3.10012e-05  9.99988e-01 
  3.60014e-05  9.99984e-01 
  4.10016e-05  9.99979e-01 
  4.60018e-05  9.99974e-01 
  5.10020e-05  9.99968e-01 
  5.60022e-05  9.99961e-01 
  6.10024e-05  9.99954e-01 
  6.60026e-05  9.99946e-01 
  7.10028e-05  9.99937e-01 
  7.60030e-05  9.99928e-01 
  8.10032e-05  9.99918e-01 
  8.60034e-05  9.99908e-01 
  9.10036e-05  9.99897e-01 
  9.60038e-05  9.99885e-01 
  1.01004e-04  9.99873e-01 
  1.06004e-04  9.99860e-01 
  1.11004e-04  9.99847e-01 
  1.16005e-04  9.99833e-01 
  1.21005e-04  9.99818e-01 
  1.26005e-04  9.99803e-01 
  1.31005e-04  9.99787e-01 
  1.36005e-04  9.99770e-01 
  1.41006e-04  9.99753e-01 
  1.46006e-04  9.99735e-01 
  1.51006e-04  9.99717e-01 
  1.56006e-04  9.99698e-01 
  1.61006e-04  9.99678e-01 
  1.66007e-04  9.99658e-01 
  1.71007e-04  9.99637e-01 
  1.76007e-04  9.99615e-01 
  1.81007e-04  9.99593e-01 
  1.86007e-04  9.99570e-01 
  1.91008e-04  9.99547e-01 
  1.96008e-04  9.99523e-01 
  2.01008e-04  9.99498e-01 
  2.06008e-04  9.99473e-01 
  2.11008e-04  9.99447e-01 
  2.16009e-04  9.99420e-01 
  2.21009e-04  9.99393e-01 
  2.26009e-04  9.99366e-01 
  2.31009e-04  9.99337e-01 
  2.36009e-04  9.99308e-01 
  2.41010e-04  9.99279e-01 
  2.46010e-04  9.99248e-01 
  2.51010e-04  9.99217e-01 
  2.56010e-04  9.99186e-01 
  2.61010e-04  9.99154e-01 
  2.66011e-04  9.99121e-01 
  2.71011e-04  9.99088e-01 
  2.76011e-04  9.99054e-01 
  2.81011e-04  9.99019e-01 
  2.86011e-04  9.98984e-01 
  2.91012e-04  9.98948e-01 
  2.96012e-04  9.98912e-01 
  3.01012e-04  9.98875e-01 
  3.06012e-04  9.98837e-01 
  3.11012e-04  9.98799e-01 
  3.16013e-04  9.98760e-01 
  3.21013e-04  9.98720e-01 
  3.26013e-04  9.98680e-01 
  3.31013e-04  9.98639e-01 
  3.36013e-04  9.98598e-01 
  3.41014e-04  9.98556e-01 
  3.46014e-04  9.98513e-01 
  3.51014e-04  9.98470e-01 
  3.56014e-04  9.98426e-01 
  3.61014e-04  9.98382e-01 
  3.66015e-04  9.98337e-01 
  3.71015e-04  9.98291e-01 
  3.76015e-04  9.98245e-01 
  3.81015e-04  9.98198e-01 
  3.86015e-04  9.98150e-01 
  3.91016e-04  9.98102e-01 
  3.96016e-04  9.98053e-01 
  4.01016e-04  9.98004e-01 
  4.06016e-04  9.97954e-01 
  4.11016e-04  9.97903e-01 
  4.16017e-04  9.97852e-01 
  4.21017e-04  9.97800e-01 
  4.26017e-04  9.97747e-01 
  4.31017e-04  9.97694e-01 
  4.36017e-04  9.97640e-01 
  4.41018e-04  9.97586e-01 
  4.46018e-04  9.97531e-01 
  4.51018e-04  9.97475e-01 
  4.56018e-04  9.97419e-01 
  4.61018e-04  9.97362e-01 
  4.66019e-04  9.97305e-01 
  4.71019e-04  9.97247e-01 
  4.76019e-04  9.97188e-01 
  4.81019e-04  9.97129e-01 
  4.86019e-04  9.97069e-01 
  4.91020e-04  9.97008e-01 
  4.96020e-04  9.96947e-01 
  5.01020e-04  9.96885e-01 
  5.06020e-04  9.96823e-01 
  5.11020e-04  9.96760e-01 
  5.16021e-04  9.96696e-01 
  5.21021e-04  9.96632e-01 
  5.26021e-04  9.96567e-01 
  5.31021e-04  9.96502e-01 
  5.36021e-04  9.96436e-01 
  5.41022e-04  9.96369e-01 
  5.46022e-04  9.96302e-01 
  5.51022e-04  9.96234e-01 
  5.56022e-04  9.96165e-01 
  5.61022e-04  9.96096e-01 
  5.66023e-04  9.96026e-01 
  5.71023e-04  9.95956e-01 
  5.76023e-04  9.95885e-01 
  5.81023e-04  9.95813e-01 
  5.86023e-04  9.95741e-01 
  5.91024e-04  9.95668e-01 
  5.96024e-04  9.95594e-01 
  6.01024e-04  9.95520e-01 
  6.06024e-04  9.95446e-01 
  6.11024e-04  9.95370e-01 
  6.16025e-04  9.95294e-01 
  6.21025e-04  9.95218e-01 
  6.26025e-04  9.95141e-01 
  6.31025e-04  9.95063e-01 
  6.36025e-04  9.94985e-01 
  6.41026e-04  9.94906e-01 
  6.46026e-04  9.94826e-01 
  6.51026e-04  9.94746e-01 
  6.56026e-04  9.94665e-01 
  6.61026e-04  9.94583e-01 
  6.66027e-04  9.94501e-01 
  6.71027e-04  9.94419e-01 
  6.76027e-04  9.94335e-01 
  6.81027e-04  9.94252e-01 
  6.86027e-04  9.94167e-01 
  6.91028e-04  9.94082e-01 
  6.96028e-04  9.93996e-01 
  7.01028e-04  9.93910e-01 
  7.06028e-04  9.93823e-01 
  7.11028e-04  9.93735e-01 
  7.16029e-04  9.93647e-01 
  7.21029e-04  9.93558e-01 
  7.26029e-04  9.93469e-01 
  7.31029e-04  9.93379e-01 
  7.36029e-04  9.93288e-01 
  7.41030e-04  9.93197e-01 
  7.46030e-04  9.93105e-01 
  7.51030e-04  9.93013e-01 
  7.56030e-04  9.92920e-01 
  7.61030e-04  9.92826e-01 
  7.66031e-04  9.92732e-01 
  7.71031e-04  9.92637e-01 
  7.76031e-04  9.92541e-01 
  7.81031e-04  9.92445e-01 
  7.86031e-04  9.92349e-01 
  7.91032e-04  9.92251e-01 
  7.96032e-04  9.92153e-01 
  8.01032e-04  9.92055e-01 
  8.06032e-04  9.91956e-01 
  8.11032e-04  9.91856e-01 
  8.16033e-04  9.91755e-01 
  8.21033e-04  9.91654e-01 
  8.26033e-04  9.91553e-01 
  8.31033e-04  9.91451e-01 
  8.36033e-04  9.91348e-01 
  8.41034e-04  9.91244e-01 
  8.46034e-04  9.91140e-01 
  8.51034e-04  9.91036e-01 
  8.56034e-04  9.90931e-01 
  8.61034e-04  9.90825e-01 
  8.66035e-04  9.90718e-01 
  8.71035e-04  9.90611e-01 
  8.76035e-04  9.90504e-01 
  8.81035e-04  9.90395e-01 
  8.86035e-04  9.90286e-01 
  8.91036e-04  9.90177e-01 
  8.96036e-04  9.90067e-01 
  9.01036e-04  9.89956e-01 
  9.06036e-04  9.89845e-01 
  9.11036e-04  9.89733e-01 
  9.16037e-04  9.89620e-01 
  9.21037e-04  9.89507e-01 
  9.26037e-04  9.89394e-01 
  9.31037e-04  9.89279e-01 
  9.36037e-04  9.89164e-01 
  9.41038e-04  9.89049e-01 
  9.46038e-04  9.88933e-01 
  9.51038e-04  9.88816e-01 
  9.56038e-04  9.88699e-01 
  9.61038e-04  9.88581e-01 
  9.66039e-04  9.88462e-01 
  9.71039e-04  9.88343e-01 
  9.76039e-04  9.88223e-01 
  9.81039e-04  9.88103e-01 
  9.86039e-04  9.87982e-01 
  9.91040e-04  9.87860e-01 
  9.96040e-04  9.87738e-01 
  1.00104e-03  9.87615e-01 
  1.00604e-03  9.87492e-01 
  1.01104e-03  9.87368e-01 
  1.01604e-03  9.87244e-01 
  1.02104e-03  9.87118e-01 
  1.02604e-03  9.86993e-01 
  1.03104e-03  9.86866e-01 
  1.03604e-03  9.86739e-01 
  1.04104e-03  9.86612e-01 
  1.04604e-03  9.86484e-01 
  1.05104e-03  9.86355e-01 
  1.05604e-03  9.86225e-01 
  1.06104e-03  9.86096e-01 
  1.06604e-03  9.85965e-01 
  1.07104e-03  9.85834e-01 
  1.07604e-03  9.85702e-01 
  1.08104e-03  9.85570e-01 
  1.08604e-03  9.85437e-01 
  1.09104e-03  9.85303e-01 
  1.09604e-03  9.85169e-01 
  1.10104e-03  9.85034e-01 
  1.10604e-03  9.84899e-01 
  1.11104e-03  9.84763e-01 
  1.11604e-03  9.84626e-01 
  1.12104e-03  9.84489e-01 
  1.12605e-03  9.84352e-01 
  1.13105e-03  9.84213e-01 
  1.13605e-03  9.84074e-01 
  1.14105e-03  9.83935e-01 
  1.14605e-03  9.83795e-01 
  1.15105e-03  9.83654e-01 
  1.15605e-03  9.83513e-01 
  1.16105e-03  9.83371e-01 
  1.16605e-03  9.83228e-01 
  1.17105e-03  9.83085e-01 
  1.17605e-03  9.82941e-01 
  1.18105e-03  9.82797e-01 
  1.18605e-03  9.82652e-01 
  1.19105e-03  9.82507e-01 
  1.19605e-03  9.82361e-01 
  1.20105e-03  9.82214e-01 
  1.20605e-03  9.82067e-01 
  1.21105e-03  9.81919e-01 
  1.21605e-03  9.81770e-01 
  1.22105e-03  9.81621e-01 
  1.22605e-03  9.81472e-01 
  1.23105e-03  9.81322e-01 
  1.23605e-03  9.81171e-01 
  1.24105e-03  9.81019e-01 
  1.24605e-03  9.80867e-01 
