# Simulated SAS data with noise
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-06  6.27544e+01  5.39417e+00 
  6.00020e-06  6.62880e+01  2.20212e+00 
  1.10004e-05  6.67912e+01  1.62637e+00 
  1.60006e-05  6.48510e+01  1.34851e+00 
  2.10008e-05  6.61498e+01  1.17708e+00 
  2.60010e-05  6.40415e+01  1.05786e+00 
  3.10012e-05  6.47574e+01  9.68797e-01 
  3.60014e-05  6.76718e+01  8.99003e-01 
  4.10016e-05  6.46301e+01  8.42402e-01 
  4.60018e-05  6.56433e+01  7.95301e-01 
  5.10020e-05  6.62174e+01  7.55308e-01 
  5.60022e-05  6.52216e+01  7.20798e-01 
  6.10024e-05  6.45532e+01  6.90623e-01 
  6.60026e-05  6.54332e+01  6.63945e-01 
  7.10028e-05  6.60946e+01  6.40137e-01 
  7.60030e-05  6.52736e+01  6.18719e-01 
  8.10032e-05  6.71886e+01  5.99316e-01 
  8.60034e-05  6.52953e+01  5.81630e-01 
  9.10036e-05  6.52964e+01  5.65422e-01 
  9.60038e-05  6.61824e+01  5.50498e-01 
  1.01004e-04  6.52954e+01  5.36695e-01 
  1.06004e-04  6.64990e+01  5.23881e-01 
  1.11004e-04  6.49698e+01  5.11943e-01 
  1.16005e-04  6.47061e+01  5.00784e-01 
  1.21005e-04  6.58033e+01  4.90325e-01 
  1.26005e-04  6.56451e+01  4.80494e-01 
  1.31005e-04  6.50291e+01  4.71231e-01 
  1.36005e-04  6.49566e+01  4.62484e-01 
  1.41006e-04  6.55168e+01  4.54206e-01 
  1.46006e-04  6.51709e+01  4.46357e-01 
  1.51006e-04  6.52005e+01  4.38900e-01 
  1.56006e-04  6.59086e+01  4.31805e-01 
  1.61006e-04  6.47569e+01  4.25043e-01 
  1.66007e-04  6.60830e+01  4.18589e-01 
  1.71007e-04  6.45827e+01  4.12419e-01 
  1.76007e-04  6.55860e+01  4.06514e-01 
  1.81007e-04  6.53463e+01  4.00856e-01 
  1.86007e-04  6.54047e+01  3.95427e-01 
  1.91008e-04  6.56912e+01  3.90212e-01 
  1.96008e-04  6.54571e+01  3.85198e-01 
  2.01008e-04  6.50366e+01  3.80372e-01 
  2.06008e-04  6.55541e+01  3.75723e-01 
  2.11008e-04  6.52378e+01  3.71240e-01 
  2.16009e-04  6.53058e+01  3.66913e-01 
  2.21009e-04  6.49598e+01  3.62734e-01 
  2.26009e-04  6.50349e+01  3.58694e-01 
  2.31009e-04  6.52821e+01  3.54786e-01 
  2.36009e-04  6.54509e+01  3.51002e-01 
  2.41010e-04  6.55554e+01  3.47337e-01 
  2.46010e-04  6.55737e+01  3.43784e-01 
  2.51010e-04  6.53164e+01  3.40337e-01 
  2.56010e-04  6.55533e+01  3.36992e-01 
  2.61010e-04  6.54607e+01  3.33743e-01 
  2.66011e-04  6.53675e+01  3.30586e-01 
  2.71011e-04  6.48910e+01  3.27516e-01 
  2.76011e-04  6.47357e+01  3.24531e-01 
  2.81011e-04  6.57341e+01  3.21625e-01 
  2.86011e-04  6.53664e+01  3.18796e-01 
  2.91012e-04  6.50225e+01  3.16039e-01 
  2.96012e-04  6.51543e+01  3.13353e-01 
  3.01012e-04  6.54709e+01  3.10734e-01 
