# Structure factor, S(q), used in: I(q) = P(q)*S(q)
# Default: S(q) = 1.0
# q                 S(q)             
  1.00000e-06      1.00000e+00      
  6.00020e-06      1.00000e+00      
  1.10004e-05      1.00000e+00      
  1.60006e-05      1.00000e+00      
  2.10008e-05      1.00000e+00      
  2.60010e-05      1.00000e+00      
  3.10012e-05      1.00000e+00      
  3.60014e-05      1.00000e+00      
  4.10016e-05      1.00000e+00      
  4.60018e-05      1.00000e+00      
  5.10020e-05      1.00000e+00      
  5.60022e-05      1.00000e+00      
  6.10024e-05      1.00000e+00      
  6.60026e-05      1.00000e+00      
  7.10028e-05      1.00000e+00      
  7.60030e-05      1.00000e+00      
  8.10032e-05      1.00000e+00      
  8.60034e-05      1.00000e+00      
  9.10036e-05      1.00000e+00      
  9.60038e-05      1.00000e+00      
  1.01004e-04      1.00000e+00      
  1.06004e-04      1.00000e+00      
  1.11004e-04      1.00000e+00      
  1.16005e-04      1.00000e+00      
  1.21005e-04      1.00000e+00      
  1.26005e-04      1.00000e+00      
  1.31005e-04      1.00000e+00      
  1.36005e-04      1.00000e+00      
  1.41006e-04      1.00000e+00      
  1.46006e-04      1.00000e+00      
  1.51006e-04      1.00000e+00      
  1.56006e-04      1.00000e+00      
  1.61006e-04      1.00000e+00      
  1.66007e-04      1.00000e+00      
  1.71007e-04      1.00000e+00      
  1.76007e-04      1.00000e+00      
  1.81007e-04      1.00000e+00      
  1.86007e-04      1.00000e+00      
  1.91008e-04      1.00000e+00      
  1.96008e-04      1.00000e+00      
  2.01008e-04      1.00000e+00      
  2.06008e-04      1.00000e+00      
  2.11008e-04      1.00000e+00      
  2.16009e-04      1.00000e+00      
  2.21009e-04      1.00000e+00      
  2.26009e-04      1.00000e+00      
  2.31009e-04      1.00000e+00      
  2.36009e-04      1.00000e+00      
  2.41010e-04      1.00000e+00      
  2.46010e-04      1.00000e+00      
  2.51010e-04      1.00000e+00      
  2.56010e-04      1.00000e+00      
  2.61010e-04      1.00000e+00      
  2.66011e-04      1.00000e+00      
  2.71011e-04      1.00000e+00      
  2.76011e-04      1.00000e+00      
  2.81011e-04      1.00000e+00      
  2.86011e-04      1.00000e+00      
  2.91012e-04      1.00000e+00      
  2.96012e-04      1.00000e+00      
  3.01012e-04      1.00000e+00      
  3.06012e-04      1.00000e+00      
  3.11012e-04      1.00000e+00      
  3.16013e-04      1.00000e+00      
  3.21013e-04      1.00000e+00      
  3.26013e-04      1.00000e+00      
  3.31013e-04      1.00000e+00      
  3.36013e-04      1.00000e+00      
  3.41014e-04      1.00000e+00      
  3.46014e-04      1.00000e+00      
  3.51014e-04      1.00000e+00      
  3.56014e-04      1.00000e+00      
  3.61014e-04      1.00000e+00      
  3.66015e-04      1.00000e+00      
  3.71015e-04      1.00000e+00      
  3.76015e-04      1.00000e+00      
  3.81015e-04      1.00000e+00      
  3.86015e-04      1.00000e+00      
  3.91016e-04      1.00000e+00      
  3.96016e-04      1.00000e+00      
  4.01016e-04      1.00000e+00      
  4.06016e-04      1.00000e+00      
  4.11016e-04      1.00000e+00      
  4.16017e-04      1.00000e+00      
  4.21017e-04      1.00000e+00      
  4.26017e-04      1.00000e+00      
  4.31017e-04      1.00000e+00      
  4.36017e-04      1.00000e+00      
  4.41018e-04      1.00000e+00      
  4.46018e-04      1.00000e+00      
  4.51018e-04      1.00000e+00      
  4.56018e-04      1.00000e+00      
  4.61018e-04      1.00000e+00      
  4.66019e-04      1.00000e+00      
  4.71019e-04      1.00000e+00      
  4.76019e-04      1.00000e+00      
  4.81019e-04      1.00000e+00      
  4.86019e-04      1.00000e+00      
  4.91020e-04      1.00000e+00      
  4.96020e-04      1.00000e+00      
  5.01020e-04      1.00000e+00      
  5.06020e-04      1.00000e+00      
  5.11020e-04      1.00000e+00      
  5.16021e-04      1.00000e+00      
  5.21021e-04      1.00000e+00      
  5.26021e-04      1.00000e+00      
  5.31021e-04      1.00000e+00      
  5.36021e-04      1.00000e+00      
  5.41022e-04      1.00000e+00      
  5.46022e-04      1.00000e+00      
  5.51022e-04      1.00000e+00      
  5.56022e-04      1.00000e+00      
  5.61022e-04      1.00000e+00      
  5.66023e-04      1.00000e+00      
  5.71023e-04      1.00000e+00      
  5.76023e-04      1.00000e+00      
  5.81023e-04      1.00000e+00      
  5.86023e-04      1.00000e+00      
  5.91024e-04      1.00000e+00      
  5.96024e-04      1.00000e+00      
  6.01024e-04      1.00000e+00      
  6.06024e-04      1.00000e+00      
  6.11024e-04      1.00000e+00      
  6.16025e-04      1.00000e+00      
  6.21025e-04      1.00000e+00      
  6.26025e-04      1.00000e+00      
  6.31025e-04      1.00000e+00      
  6.36025e-04      1.00000e+00      
  6.41026e-04      1.00000e+00      
  6.46026e-04      1.00000e+00      
  6.51026e-04      1.00000e+00      
  6.56026e-04      1.00000e+00      
  6.61026e-04      1.00000e+00      
  6.66027e-04      1.00000e+00      
  6.71027e-04      1.00000e+00      
  6.76027e-04      1.00000e+00      
  6.81027e-04      1.00000e+00      
  6.86027e-04      1.00000e+00      
  6.91028e-04      1.00000e+00      
  6.96028e-04      1.00000e+00      
  7.01028e-04      1.00000e+00      
  7.06028e-04      1.00000e+00      
  7.11028e-04      1.00000e+00      
  7.16029e-04      1.00000e+00      
  7.21029e-04      1.00000e+00      
  7.26029e-04      1.00000e+00      
  7.31029e-04      1.00000e+00      
  7.36029e-04      1.00000e+00      
  7.41030e-04      1.00000e+00      
  7.46030e-04      1.00000e+00      
  7.51030e-04      1.00000e+00      
  7.56030e-04      1.00000e+00      
  7.61030e-04      1.00000e+00      
  7.66031e-04      1.00000e+00      
  7.71031e-04      1.00000e+00      
  7.76031e-04      1.00000e+00      
  7.81031e-04      1.00000e+00      
  7.86031e-04      1.00000e+00      
  7.91032e-04      1.00000e+00      
  7.96032e-04      1.00000e+00      
  8.01032e-04      1.00000e+00      
  8.06032e-04      1.00000e+00      
  8.11032e-04      1.00000e+00      
  8.16033e-04      1.00000e+00      
  8.21033e-04      1.00000e+00      
  8.26033e-04      1.00000e+00      
  8.31033e-04      1.00000e+00      
  8.36033e-04      1.00000e+00      
  8.41034e-04      1.00000e+00      
  8.46034e-04      1.00000e+00      
  8.51034e-04      1.00000e+00      
  8.56034e-04      1.00000e+00      
  8.61034e-04      1.00000e+00      
  8.66035e-04      1.00000e+00      
  8.71035e-04      1.00000e+00      
  8.76035e-04      1.00000e+00      
  8.81035e-04      1.00000e+00      
  8.86035e-04      1.00000e+00      
  8.91036e-04      1.00000e+00      
  8.96036e-04      1.00000e+00      
  9.01036e-04      1.00000e+00      
  9.06036e-04      1.00000e+00      
  9.11036e-04      1.00000e+00      
  9.16037e-04      1.00000e+00      
  9.21037e-04      1.00000e+00      
  9.26037e-04      1.00000e+00      
  9.31037e-04      1.00000e+00      
  9.36037e-04      1.00000e+00      
  9.41038e-04      1.00000e+00      
  9.46038e-04      1.00000e+00      
  9.51038e-04      1.00000e+00      
  9.56038e-04      1.00000e+00      
  9.61038e-04      1.00000e+00      
  9.66039e-04      1.00000e+00      
  9.71039e-04      1.00000e+00      
  9.76039e-04      1.00000e+00      
  9.81039e-04      1.00000e+00      
  9.86039e-04      1.00000e+00      
  9.91040e-04      1.00000e+00      
  9.96040e-04      1.00000e+00      
  1.00104e-03      1.00000e+00      
  1.00604e-03      1.00000e+00      
  1.01104e-03      1.00000e+00      
  1.01604e-03      1.00000e+00      
  1.02104e-03      1.00000e+00      
  1.02604e-03      1.00000e+00      
  1.03104e-03      1.00000e+00      
  1.03604e-03      1.00000e+00      
  1.04104e-03      1.00000e+00      
  1.04604e-03      1.00000e+00      
  1.05104e-03      1.00000e+00      
  1.05604e-03      1.00000e+00      
  1.06104e-03      1.00000e+00      
  1.06604e-03      1.00000e+00      
  1.07104e-03      1.00000e+00      
  1.07604e-03      1.00000e+00      
  1.08104e-03      1.00000e+00      
  1.08604e-03      1.00000e+00      
  1.09104e-03      1.00000e+00      
  1.09604e-03      1.00000e+00      
  1.10104e-03      1.00000e+00      
  1.10604e-03      1.00000e+00      
  1.11104e-03      1.00000e+00      
  1.11604e-03      1.00000e+00      
  1.12104e-03      1.00000e+00      
  1.12605e-03      1.00000e+00      
  1.13105e-03      1.00000e+00      
  1.13605e-03      1.00000e+00      
  1.14105e-03      1.00000e+00      
  1.14605e-03      1.00000e+00      
  1.15105e-03      1.00000e+00      
  1.15605e-03      1.00000e+00      
  1.16105e-03      1.00000e+00      
  1.16605e-03      1.00000e+00      
  1.17105e-03      1.00000e+00      
  1.17605e-03      1.00000e+00      
  1.18105e-03      1.00000e+00      
  1.18605e-03      1.00000e+00      
  1.19105e-03      1.00000e+00      
  1.19605e-03      1.00000e+00      
  1.20105e-03      1.00000e+00      
  1.20605e-03      1.00000e+00      
  1.21105e-03      1.00000e+00      
  1.21605e-03      1.00000e+00      
  1.22105e-03      1.00000e+00      
  1.22605e-03      1.00000e+00      
  1.23105e-03      1.00000e+00      
  1.23605e-03      1.00000e+00      
