# x y z sld
21.032265 -155.219152 -161.873359 1.000000
-71.582752 172.245538 -30.188180 1.000000
-28.088531 113.056051 -96.541963 1.000000
188.845931 -66.103333 10.312160 1.000000
31.023318 64.788742 64.260824 1.000000
155.737883 30.124652 39.679683 1.000000
-114.489962 -48.897407 95.442412 1.000000
-62.647496 18.774241 131.315810 1.000000
103.107680 3.972261 220.721322 1.000000
-4.107677 -48.519075 -63.469816 1.000000
177.956225 -98.604549 -87.116408 1.000000
189.871101 18.284885 -133.029637 1.000000
-18.286924 197.111813 -8.322595 1.000000
-59.120385 -58.151395 229.752977 1.000000
223.684126 -34.982044 -29.534249 1.000000
67.714492 -111.280824 -73.331274 1.000000
66.449608 176.991188 -101.855191 1.000000
196.075396 -89.741017 76.324510 1.000000
39.619296 -41.160035 -76.140807 1.000000
102.429625 -169.660634 24.043229 1.000000
70.778680 37.592071 88.363678 1.000000
7.739452 37.002356 -154.578132 1.000000
134.264544 -120.112923 104.632221 1.000000
-150.967447 165.038526 -105.510750 1.000000
-2.701459 54.991914 193.005641 1.000000
151.842649 -93.203811 58.615885 1.000000
64.312205 -64.403746 100.358528 1.000000
209.893109 10.610960 51.786083 1.000000
77.610921 -169.930919 -76.953832 1.000000
-42.224514 -19.061394 -33.677648 1.000000
-79.154499 2.943617 114.961048 1.000000
-144.928085 -48.097294 115.732123 1.000000
42.944700 156.316631 68.511092 1.000000
-97.700734 -74.132404 -205.345760 1.000000
-93.792179 36.292946 -19.927469 1.000000
29.484027 -24.683616 -207.480766 1.000000
-6.226842 -33.603327 -114.662937 1.000000
67.497589 -100.800195 152.354873 1.000000
21.917572 -199.648113 135.103275 1.000000
39.464428 108.315526 -56.792450 1.000000
55.297287 -234.244350 20.220584 1.000000
60.437000 -191.758163 68.471302 1.000000
39.556369 -57.400461 207.947193 1.000000
203.150002 -34.609824 40.143425 1.000000
-86.512957 -17.024312 217.121692 1.000000
-75.860698 -177.596826 -100.404888 1.000000
-89.942151 81.947281 -41.103493 1.000000
148.037693 -14.867377 -128.036965 1.000000
168.130078 108.960461 -120.376159 1.000000
-15.309642 -90.054311 -124.061124 1.000000
0.444005 184.898267 -76.804856 1.000000
-137.031773 71.166492 -117.024223 1.000000
-101.117091 -53.166782 -79.185110 1.000000
109.490319 40.862891 -26.638175 1.000000
-90.021425 40.790060 -206.444937 1.000000
-133.027376 -154.338558 -144.853742 1.000000
-67.513623 -146.575787 89.966183 1.000000
-35.466747 -200.631696 -143.414358 1.000000
19.225846 -50.807657 -146.863339 1.000000
1.490664 -90.878444 -50.713331 1.000000
45.770419 -140.821254 -65.973221 1.000000
-72.390119 -22.792461 56.059488 1.000000
-168.568991 26.725152 -141.363469 1.000000
50.739806 90.079258 49.713514 1.000000
-59.045453 -179.857688 -71.924915 1.000000
-101.916163 -34.092146 221.083172 1.000000
177.992390 143.039294 56.971130 1.000000
160.967264 144.036834 -43.080225 1.000000
36.725161 106.057518 -218.209712 1.000000
160.753498 30.579332 -32.276119 1.000000
-85.637731 -0.191257 -152.706042 1.000000
154.438883 -122.508822 96.867485 1.000000
126.254397 -202.156827 65.097370 1.000000
-70.522659 10.188250 -215.445162 1.000000
149.851537 -130.050852 53.000927 1.000000
60.135536 171.686180 48.826561 1.000000
181.634590 -131.232046 -95.686121 1.000000
147.965434 78.477521 123.591233 1.000000
87.322704 7.277761 59.623068 1.000000
-3.081480 213.919109 -32.125773 1.000000
95.242736 103.364245 42.750014 1.000000
54.554350 10.072880 208.219413 1.000000
59.729494 127.843725 -186.605453 1.000000
-99.370809 -141.330150 44.494621 1.000000
232.603223 -20.388537 -88.630014 1.000000
32.943599 -142.450047 -56.648394 1.000000
-174.503914 27.489179 -128.829340 1.000000
75.772605 76.433640 -191.294638 1.000000
-49.198929 -177.037343 143.345666 1.000000
-129.138738 44.637267 136.028793 1.000000
-41.144967 76.026732 -4.186412 1.000000
-13.123541 109.104124 129.917065 1.000000
24.687424 240.421523 -27.412832 1.000000
-176.281014 -53.388006 -70.428499 1.000000
160.391743 -175.916316 -15.846771 1.000000
-148.578209 -93.807576 148.294651 1.000000
2.806285 152.756801 -56.485117 1.000000
66.342291 61.717637 33.768271 1.000000
30.572402 23.118738 186.999054 1.000000
11.098548 154.280944 22.004432 1.000000
63.144525 21.361516 -76.521089 1.000000
64.771761 58.171192 -36.453474 1.000000
-57.759120 201.126557 60.517340 1.000000
-62.334842 114.024647 184.988243 1.000000
174.084485 -139.680272 85.829432 1.000000
3.527795 -57.526581 -39.102694 1.000000
-78.944000 61.641833 -161.260743 1.000000
-90.340054 -139.587640 167.291948 1.000000
4.797908 16.398900 244.407924 1.000000
-78.700538 -30.799582 36.250070 1.000000
27.364536 -106.134865 -63.237883 1.000000
-153.799909 51.835784 13.965774 1.000000
-142.759016 -66.402725 -26.927073 1.000000
47.114490 134.444301 108.828185 1.000000
179.515715 31.277719 -113.795013 1.000000
86.815804 96.332096 5.181628 1.000000
-159.066995 80.464388 103.484811 1.000000
41.072707 -119.120173 -45.984029 1.000000
148.721656 140.290404 -83.751095 1.000000
187.308901 -140.515836 -35.258125 1.000000
-101.969738 -136.802333 95.001322 1.000000
-227.501774 -69.471720 59.163062 1.000000
85.886163 -50.678840 -35.913102 1.000000
-93.182802 -108.265104 -105.676377 1.000000
-182.966543 11.571141 94.715908 1.000000
194.468647 -11.690921 10.229922 1.000000
16.330971 -61.235547 144.247611 1.000000
91.710063 -41.257397 -214.281170 1.000000
63.125758 -89.033606 -110.051438 1.000000
-85.723431 -187.900926 63.898744 1.000000
-75.665301 -152.495579 -13.976585 1.000000
-135.166694 24.788150 7.917027 1.000000
-52.116574 22.836243 -179.801249 1.000000
8.700473 -38.360281 62.458723 1.000000
158.572724 -134.975206 23.421456 1.000000
60.126570 97.635826 97.673766 1.000000
176.759258 -42.065371 -170.517353 1.000000
46.817888 -35.920115 -41.744457 1.000000
18.508010 153.809614 143.364205 1.000000
-64.361496 30.860541 -97.974831 1.000000
59.776614 -69.726916 -153.678773 1.000000
-138.921106 -8.512249 -188.925108 1.000000
-53.716358 -39.161322 72.353764 1.000000
-78.497841 115.523709 -33.463677 1.000000
100.597438 43.903751 217.356431 1.000000
99.291854 -171.382107 77.570097 1.000000
-210.616331 9.086365 32.684036 1.000000
135.453823 146.963957 -76.634495 1.000000
157.423623 -169.837052 18.289127 1.000000
204.397108 -105.281826 -87.939741 1.000000
168.174267 9.238208 7.616000 1.000000
102.030002 152.450059 164.796077 1.000000
208.690070 57.037566 93.249997 1.000000
-156.381919 -84.809912 33.264369 1.000000
223.709697 -72.751626 -10.765508 1.000000
0.220141 109.571896 -40.168737 1.000000
33.962349 -129.118837 -72.906689 1.000000
67.293972 118.294258 103.200688 1.000000
225.034688 -45.025392 -83.717672 1.000000
109.120361 46.668250 -212.059574 1.000000
-43.739282 114.612186 -99.132280 1.000000
91.741054 144.569109 135.100565 1.000000
0.691236 -103.000533 -162.133673 1.000000
-69.678939 30.165673 -68.217782 1.000000
64.734384 -16.370473 -142.783276 1.000000
-75.142749 -59.212763 -19.553336 1.000000
17.668737 -135.102779 175.831015 1.000000
-91.915736 28.106199 144.010472 1.000000
64.184189 -69.944604 -40.079646 1.000000
-133.460660 -106.415278 -98.330601 1.000000
-240.953139 58.550854 -30.636529 1.000000
66.750196 229.012669 18.746427 1.000000
-103.363361 -3.482656 -135.225934 1.000000
-26.974089 79.782011 -150.266849 1.000000
-143.437509 -147.931474 -80.437505 1.000000
63.128388 -56.712171 63.595377 1.000000
0.421194 -81.715074 -21.568460 1.000000
35.875214 143.179423 22.473533 1.000000
-40.782163 86.665142 154.556779 1.000000
-78.019568 -84.592033 61.739201 1.000000
151.043592 -45.346038 -127.579045 1.000000
212.181592 -126.699284 16.381859 1.000000
57.980641 -83.626523 36.393270 1.000000
62.331809 -234.445015 -43.674218 1.000000
150.339678 -58.638071 181.232575 1.000000
11.420025 -91.551178 -5.795001 1.000000
-121.279280 12.587007 105.209403 1.000000
10.192173 -64.324258 122.206621 1.000000
-52.842740 134.477312 -193.648887 1.000000
70.593136 234.380262 8.126818 1.000000
131.213347 -49.003990 -12.877419 1.000000
170.068909 -115.660486 -116.651847 1.000000
201.568484 -106.842046 98.907606 1.000000
-34.854217 148.376659 164.724928 1.000000
161.324002 150.313100 -65.794138 1.000000
-72.089968 80.393594 216.016886 1.000000
9.913656 -131.319049 -99.065903 1.000000
-16.122182 31.797768 -119.996347 1.000000
