# Simulated SAS data with noise
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-06  4.80878e-01  3.40681e-01 
  6.00020e-06  2.13794e-01  1.39080e-01 
  1.10004e-05  2.87623e-01  1.02717e-01 
  1.60006e-05  1.86267e-01  8.51685e-02 
  2.10008e-05  3.15084e-01  7.43412e-02 
  2.60010e-05  2.54312e-01  6.68117e-02 
  3.10012e-05  2.94056e-01  6.11868e-02 
  3.60014e-05  2.53716e-01  5.67790e-02 
  4.10016e-05  1.62564e-01  5.32043e-02 
  4.60018e-05  2.28819e-01  5.02296e-02 
  5.10020e-05  2.57848e-01  4.77039e-02 
  5.60022e-05  2.24887e-01  4.55245e-02 
  6.10024e-05  2.61709e-01  4.36188e-02 
  6.60026e-05  2.02401e-01  4.19341e-02 
  7.10028e-05  2.64340e-01  4.04306e-02 
  7.60030e-05  1.59929e-01  3.90780e-02 
  8.10032e-05  1.83896e-01  3.78527e-02 
  8.60034e-05  2.23912e-01  3.67358e-02 
  9.10036e-05  1.42205e-01  3.57123e-02 
  9.60038e-05  2.56670e-01  3.47699e-02 
  1.01004e-04  2.64689e-01  3.38983e-02 
  1.06004e-04  1.70266e-01  3.30892e-02 
  1.11004e-04  2.17985e-01  3.23354e-02 
  1.16005e-04  2.57183e-01  3.16308e-02 
  1.21005e-04  1.86003e-01  3.09704e-02 
  1.26005e-04  1.98210e-01  3.03497e-02 
  1.31005e-04  2.65239e-01  2.97649e-02 
  1.36005e-04  2.22951e-01  2.92126e-02 
  1.41006e-04  1.54240e-01  2.86900e-02 
  1.46006e-04  2.14722e-01  2.81944e-02 
  1.51006e-04  2.10620e-01  2.77237e-02 
  1.56006e-04  2.49451e-01  2.72758e-02 
  1.61006e-04  2.09158e-01  2.68489e-02 
  1.66007e-04  2.18648e-01  2.64415e-02 
  1.71007e-04  2.64140e-01  2.60521e-02 
  1.76007e-04  2.65885e-01  2.56793e-02 
  1.81007e-04  2.20662e-01  2.53222e-02 
  1.86007e-04  2.13541e-01  2.49795e-02 
  1.91008e-04  2.62129e-01  2.46504e-02 
  1.96008e-04  2.66659e-01  2.43339e-02 
  2.01008e-04  2.60730e-01  2.40294e-02 
  2.06008e-04  2.03814e-01  2.37360e-02 
  2.11008e-04  2.41643e-01  2.34531e-02 
  2.16009e-04  2.44324e-01  2.31800e-02 
  2.21009e-04  2.52213e-01  2.29163e-02 
  2.26009e-04  2.52226e-01  2.26614e-02 
  2.31009e-04  2.55209e-01  2.24148e-02 
  2.36009e-04  2.27893e-01  2.21761e-02 
  2.41010e-04  2.37371e-01  2.19449e-02 
  2.46010e-04  2.24124e-01  2.17207e-02 
  2.51010e-04  2.61203e-01  2.15033e-02 
  2.56010e-04  2.50759e-01  2.12923e-02 
  2.61010e-04  2.05213e-01  2.10873e-02 
  2.66011e-04  1.94107e-01  2.08882e-02 
  2.71011e-04  2.36881e-01  2.06946e-02 
  2.76011e-04  2.13797e-01  2.05063e-02 
  2.81011e-04  2.80451e-01  2.03231e-02 
  2.86011e-04  2.55505e-01  2.01446e-02 
  2.91012e-04  2.20921e-01  1.99708e-02 
  2.96012e-04  2.54889e-01  1.98015e-02 
  3.01012e-04  2.54180e-01  1.96363e-02 
  3.06012e-04  2.14811e-01  1.94752e-02 
  3.11012e-04  2.41871e-01  1.93180e-02 
  3.16013e-04  2.20469e-01  1.91646e-02 
  3.21013e-04  2.35828e-01  1.90148e-02 
  3.26013e-04  2.47005e-01  1.88684e-02 
  3.31013e-04  2.19898e-01  1.87253e-02 
  3.36013e-04  2.40158e-01  1.85855e-02 
  3.41014e-04  2.30706e-01  1.84488e-02 
  3.46014e-04  2.39120e-01  1.83150e-02 
  3.51014e-04  2.38843e-01  1.81841e-02 
  3.56014e-04  2.38939e-01  1.80559e-02 
  3.61014e-04  2.24028e-01  1.79305e-02 
  3.66015e-04  2.47334e-01  1.78076e-02 
  3.71015e-04  2.44118e-01  1.76872e-02 
  3.76015e-04  2.37362e-01  1.75692e-02 
  3.81015e-04  2.30062e-01  1.74535e-02 
  3.86015e-04  2.35915e-01  1.73401e-02 
  3.91016e-04  2.47015e-01  1.72289e-02 
  3.96016e-04  2.25596e-01  1.71198e-02 
  4.01016e-04  2.18413e-01  1.70127e-02 
  4.06016e-04  2.42726e-01  1.69077e-02 
  4.11016e-04  2.14028e-01  1.68045e-02 
  4.16017e-04  2.36400e-01  1.67032e-02 
  4.21017e-04  2.49095e-01  1.66037e-02 
  4.26017e-04  2.07265e-01  1.65060e-02 
  4.31017e-04  2.29344e-01  1.64100e-02 
  4.36017e-04  2.33176e-01  1.63157e-02 
  4.41018e-04  2.35770e-01  1.62229e-02 
  4.46018e-04  2.51037e-01  1.61317e-02 
  4.51018e-04  2.55205e-01  1.60421e-02 
  4.56018e-04  2.42093e-01  1.59539e-02 
  4.61018e-04  2.40347e-01  1.58671e-02 
  4.66019e-04  2.45705e-01  1.57818e-02 
  4.71019e-04  2.51200e-01  1.56978e-02 
  4.76019e-04  2.45179e-01  1.56151e-02 
  4.81019e-04  2.34738e-01  1.55338e-02 
