# x y z sld
-6.323959 30.186986 -38.069389 1.000000
-34.452296 25.133671 24.386976 1.000000
-12.857194 22.071578 37.506654 1.000000
12.504689 -22.582590 -41.998409 1.000000
47.053135 7.579493 0.933978 1.000000
13.622597 -3.424501 20.244660 1.000000
-49.556647 -1.495618 0.628545 1.000000
49.681247 5.237921 1.104029 1.000000
10.774078 -18.264653 9.180655 1.000000
-23.676551 9.395880 -23.316635 1.000000
31.474238 -0.451638 -8.439361 1.000000
-13.302156 -4.832757 -25.895499 1.000000
-7.442450 18.115608 -20.835016 1.000000
-16.588786 -23.462558 34.375332 1.000000
-14.605883 30.642188 -25.990891 1.000000
-1.920611 -0.554768 -27.717074 1.000000
-2.048908 -5.627203 -8.860253 1.000000
4.256858 -22.892032 -17.292776 1.000000
22.265428 -0.950463 34.208531 1.000000
-5.237626 26.846133 -5.288303 1.000000
24.779852 -29.737233 -2.077696 1.000000
15.526115 -37.118333 -21.672204 1.000000
-10.312744 19.438775 -26.725268 1.000000
44.371549 -4.214450 -16.632298 1.000000
-21.926320 30.668583 -1.112126 1.000000
2.702908 1.281333 -43.681946 1.000000
-34.474040 -24.024183 -3.815239 1.000000
44.744800 13.901863 7.298432 1.000000
15.355079 32.761450 -2.195070 1.000000
41.781928 1.193568 13.316273 1.000000
-29.359588 -33.800063 5.370628 1.000000
-25.600417 10.546314 -1.092461 1.000000
31.749512 -29.052115 25.243905 1.000000
-12.222378 -16.970211 -8.092467 1.000000
22.785574 17.561648 10.958617 1.000000
0.400117 23.740107 18.892523 1.000000
-10.030084 -16.495390 42.115096 1.000000
24.513990 11.219507 14.863502 1.000000
-4.380129 -30.688652 -28.561560 1.000000
-17.066489 -29.223569 -15.061775 1.000000
-20.515570 10.693519 -8.173281 1.000000
17.332761 -24.077101 -7.242490 1.000000
5.134650 25.295179 24.937382 1.000000
-29.706472 11.298938 -6.956229 1.000000
-41.879794 1.067262 -5.091275 1.000000
-15.747785 -31.699597 24.312633 1.000000
-22.383830 9.742468 31.264083 1.000000
21.106510 13.527729 -12.543327 1.000000
17.415243 -20.843401 -16.872472 1.000000
-37.735205 -20.786304 -16.329650 1.000000
-24.462868 -17.171797 9.637792 1.000000
26.009594 0.148074 -40.815941 1.000000
8.619147 -25.631774 -18.119795 1.000000
44.623873 10.798077 12.130133 1.000000
11.883385 -10.310640 -46.343414 1.000000
-19.902817 3.139813 -42.977430 1.000000
20.226929 -29.497481 -0.680926 1.000000
17.542873 -27.640020 -15.921778 1.000000
-0.420484 -31.820620 13.655613 1.000000
21.800453 -31.713924 -13.791478 1.000000
4.256018 5.657967 -45.206025 1.000000
-12.003513 -37.456691 -17.192565 1.000000
-10.650269 40.801929 -24.647990 1.000000
26.528615 5.497459 -39.153428 1.000000
-31.585608 -15.367132 -28.638353 1.000000
-21.946198 25.164598 6.976342 1.000000
22.388533 5.220639 -43.553543 1.000000
-19.253443 -0.049327 42.180651 1.000000
-28.494652 -14.134419 30.113019 1.000000
25.361174 27.762491 26.204617 1.000000
41.139387 27.959855 -3.439649 1.000000
34.240215 -11.211119 9.261679 1.000000
30.125107 -11.311023 4.819543 1.000000
-22.720695 -4.235723 24.828383 1.000000
30.106782 -27.725526 -25.266544 1.000000
-36.224601 -4.920805 14.173724 1.000000
38.585510 11.982576 -8.148579 1.000000
-5.798292 -25.709087 38.826602 1.000000
-7.376184 27.381430 12.389521 1.000000
7.619582 -28.312083 39.632876 1.000000
-5.413499 -15.186762 -45.961409 1.000000
2.694152 8.762784 -25.724339 1.000000
-14.276534 -6.816821 -46.781007 1.000000
14.978491 33.817402 23.560558 1.000000
-10.958212 -28.105609 -26.890064 1.000000
11.239691 -10.729673 24.875163 1.000000
4.078751 -23.090527 19.410671 1.000000
13.437103 -21.917475 39.570691 1.000000
-5.578409 -35.726824 -19.127209 1.000000
-26.155333 -41.433431 8.853481 1.000000
-19.410876 11.882584 -44.319201 1.000000
-33.519753 29.637990 -17.284357 1.000000
-12.591163 12.223841 40.221036 1.000000
-17.311578 -34.340802 30.621847 1.000000
14.995495 -43.240543 19.458843 1.000000
-1.844002 -3.809902 -18.097281 1.000000
17.577351 36.123987 8.095301 1.000000
-0.767533 -21.049999 -41.370423 1.000000
40.658010 -23.621776 -0.746033 1.000000
-43.322226 15.789292 6.021237 1.000000
9.560298 42.689957 -6.781667 1.000000
-13.982463 7.322155 -16.283652 1.000000
-10.038373 -8.089322 9.401415 1.000000
1.727217 -1.039317 -31.287430 1.000000
-4.826777 32.842224 24.402227 1.000000
-47.566787 -9.134881 9.742198 1.000000
3.305428 -40.681379 26.357332 1.000000
