# r                 p(r)             
  5.24086e-01       4.53912e-06      
  1.57226e+00       3.16349e-05      
  2.62043e+00       8.14108e-05      
  3.66860e+00       1.60675e-04      
  4.71677e+00       2.58390e-04      
  5.76494e+00       3.80298e-04      
  6.81311e+00       5.22029e-04      
  7.86128e+00       6.82257e-04      
  8.90946e+00       8.67018e-04      
  9.95763e+00       1.05979e-03      
  1.10058e+01       1.27390e-03      
  1.20540e+01       1.48741e-03      
  1.31021e+01       1.72483e-03      
  1.41503e+01       1.97391e-03      
  1.51985e+01       2.23383e-03      
  1.62467e+01       2.51671e-03      
  1.72948e+01       2.77172e-03      
  1.83430e+01       3.05180e-03      
  1.93912e+01       3.33849e-03      
  2.04393e+01       3.64876e-03      
  2.14875e+01       3.91743e-03      
  2.25357e+01       4.22884e-03      
  2.35839e+01       4.51533e-03      
  2.46320e+01       4.83794e-03      
  2.56802e+01       5.13109e-03      
  2.67284e+01       5.40581e-03      
  2.77765e+01       5.70138e-03      
  2.88247e+01       5.98756e-03      
  2.98729e+01       6.28916e-03      
  3.09211e+01       6.54196e-03      
  3.19692e+01       6.82164e-03      
  3.30174e+01       7.08221e-03      
  3.40656e+01       7.34157e-03      
  3.51137e+01       7.59110e-03      
  3.61619e+01       7.82823e-03      
  3.72101e+01       8.06214e-03      
  3.82583e+01       8.28162e-03      
  3.93064e+01       8.46096e-03      
  4.03546e+01       8.66474e-03      
  4.14028e+01       8.84444e-03      
  4.24509e+01       9.02999e-03      
  4.34991e+01       9.15875e-03      
  4.45473e+01       9.32134e-03      
  4.55955e+01       9.42072e-03      
  4.66436e+01       9.55586e-03      
  4.76918e+01       9.64481e-03      
  4.87400e+01       9.70533e-03      
  4.97881e+01       9.75112e-03      
  5.08363e+01       9.80233e-03      
  5.18845e+01       9.85205e-03      
  5.29326e+01       9.82852e-03      
  5.39808e+01       9.82086e-03      
  5.50290e+01       9.80239e-03      
  5.60772e+01       9.75989e-03      
  5.71253e+01       9.72872e-03      
  5.81735e+01       9.61336e-03      
  5.92217e+01       9.54050e-03      
  6.02698e+01       9.41822e-03      
  6.13180e+01       9.28676e-03      
  6.23662e+01       9.14385e-03      
  6.34144e+01       8.97217e-03      
  6.44625e+01       8.78634e-03      
  6.55107e+01       8.61018e-03      
  6.65589e+01       8.38437e-03      
  6.76070e+01       8.14856e-03      
  6.86552e+01       7.91806e-03      
  6.97034e+01       7.66147e-03      
  7.07516e+01       7.37813e-03      
  7.17997e+01       7.09864e-03      
  7.28479e+01       6.81067e-03      
  7.38961e+01       6.50519e-03      
  7.49442e+01       6.18890e-03      
  7.59924e+01       5.86942e-03      
  7.70406e+01       5.54080e-03      
  7.80888e+01       5.20938e-03      
  7.91369e+01       4.86129e-03      
  8.01851e+01       4.52498e-03      
  8.12333e+01       4.18445e-03      
  8.22814e+01       3.84489e-03      
  8.33296e+01       3.48382e-03      
  8.43778e+01       3.16832e-03      
  8.54260e+01       2.84609e-03      
  8.64741e+01       2.51645e-03      
  8.75223e+01       2.20141e-03      
  8.85705e+01       1.90871e-03      
  8.96186e+01       1.61696e-03      
  9.06668e+01       1.33541e-03      
  9.17150e+01       1.07707e-03      
  9.27632e+01       8.40478e-04      
  9.38113e+01       6.37869e-04      
  9.48595e+01       4.49095e-04      
  9.59077e+01       3.01048e-04      
  9.69558e+01       1.72054e-04      
  9.80040e+01       7.67481e-05      
  9.90522e+01       1.82954e-05      
  1.00100e+02       2.62466e-07      
  1.01149e+02       0.00000e+00      
  1.02197e+02       0.00000e+00      
  1.03245e+02       0.00000e+00      
  1.04293e+02       0.00000e+00      
