# Theoretical SAS data
# q            I           
  1.00000e-03  9.99596e-01 
  2.25063e-03  9.97958e-01 
  3.50125e-03  9.95063e-01 
  4.75188e-03  9.90924e-01 
  6.00251e-03  9.85554e-01 
  7.25313e-03  9.78971e-01 
  8.50376e-03  9.71198e-01 
  9.75439e-03  9.62262e-01 
  1.10050e-02  9.52192e-01 
  1.22556e-02  9.41022e-01 
  1.35063e-02  9.28791e-01 
  1.47569e-02  9.15538e-01 
  1.60075e-02  9.01309e-01 
  1.72581e-02  8.86148e-01 
  1.85088e-02  8.70106e-01 
  1.97594e-02  8.53235e-01 
  2.10100e-02  8.35589e-01 
  2.22607e-02  8.17223e-01 
  2.35113e-02  7.98195e-01 
  2.47619e-02  7.78563e-01 
  2.60125e-02  7.58388e-01 
  2.72632e-02  7.37730e-01 
  2.85138e-02  7.16650e-01 
  2.97644e-02  6.95209e-01 
  3.10150e-02  6.73470e-01 
  3.22657e-02  6.51491e-01 
  3.35163e-02  6.29335e-01 
  3.47669e-02  6.07060e-01 
  3.60175e-02  5.84726e-01 
  3.72682e-02  5.62388e-01 
  3.85188e-02  5.40102e-01 
  3.97694e-02  5.17923e-01 
  4.10201e-02  4.95901e-01 
  4.22707e-02  4.74088e-01 
  4.35213e-02  4.52529e-01 
  4.47719e-02  4.31270e-01 
  4.60226e-02  4.10354e-01 
  4.72732e-02  3.89820e-01 
  4.85238e-02  3.69705e-01 
  4.97744e-02  3.50043e-01 
  5.10251e-02  3.30865e-01 
  5.22757e-02  3.12199e-01 
  5.35263e-02  2.94071e-01 
  5.47769e-02  2.76503e-01 
  5.60276e-02  2.59514e-01 
  5.72782e-02  2.43119e-01 
  5.85288e-02  2.27334e-01 
  5.97794e-02  2.12167e-01 
  6.10301e-02  1.97627e-01 
  6.22807e-02  1.83719e-01 
  6.35313e-02  1.70445e-01 
  6.47820e-02  1.57804e-01 
  6.60326e-02  1.45795e-01 
  6.72832e-02  1.34412e-01 
  6.85338e-02  1.23649e-01 
  6.97845e-02  1.13495e-01 
  7.10351e-02  1.03941e-01 
  7.22857e-02  9.49744e-02 
  7.35363e-02  8.65798e-02 
  7.47870e-02  7.87422e-02 
  7.60376e-02  7.14446e-02 
  7.72882e-02  6.46690e-02 
  7.85388e-02  5.83963e-02 
  7.97895e-02  5.26069e-02 
  8.10401e-02  4.72801e-02 
  8.22907e-02  4.23950e-02 
  8.35414e-02  3.79303e-02 
  8.47920e-02  3.38641e-02 
  8.60426e-02  3.01748e-02 
  8.72932e-02  2.68405e-02 
  8.85439e-02  2.38396e-02 
  8.97945e-02  2.11505e-02 
  9.10451e-02  1.87522e-02 
  9.22957e-02  1.66239e-02 
  9.35464e-02  1.47452e-02 
  9.47970e-02  1.30965e-02 
  9.60476e-02  1.16588e-02 
  9.72982e-02  1.04136e-02 
  9.85489e-02  9.34327e-03 
  9.97995e-02  8.43101e-03 
  1.01050e-01  7.66076e-03 
  1.02301e-01  7.01731e-03 
  1.03551e-01  6.48635e-03 
  1.04802e-01  6.05441e-03 
  1.06053e-01  5.70894e-03 
  1.07303e-01  5.43824e-03 
  1.08554e-01  5.23152e-03 
  1.09805e-01  5.07882e-03 
  1.11055e-01  4.97105e-03 
  1.12306e-01  4.89994e-03 
  1.13556e-01  4.85804e-03 
  1.14807e-01  4.83865e-03 
  1.16058e-01  4.83582e-03 
  1.17308e-01  4.84431e-03 
  1.18559e-01  4.85955e-03 
  1.19810e-01  4.87759e-03 
  1.21060e-01  4.89509e-03 
  1.22311e-01  4.90925e-03 
  1.23561e-01  4.91779e-03 
  1.24812e-01  4.91888e-03 
  1.26063e-01  4.91114e-03 
  1.27313e-01  4.89357e-03 
  1.28564e-01  4.86550e-03 
  1.29815e-01  4.82659e-03 
  1.31065e-01  4.77676e-03 
  1.32316e-01  4.71619e-03 
  1.33566e-01  4.64523e-03 
  1.34817e-01  4.56441e-03 
  1.36068e-01  4.47441e-03 
  1.37318e-01  4.37600e-03 
