# Simulated SAS data with noise
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-03  2.55210e-01  1.09220e-02 
  2.25063e-03  2.83556e-01  7.27439e-03 
  3.50125e-03  2.60451e-01  5.82381e-03 
  4.75188e-03  2.65200e-01  4.98864e-03 
  6.00251e-03  2.61780e-01  4.42661e-03 
  7.25313e-03  2.64405e-01  4.01349e-03 
  8.50376e-03  2.60278e-01  3.69191e-03 
  9.75439e-03  2.61791e-01  3.43125e-03 
  1.10050e-02  2.59658e-01  3.21349e-03 
  1.22556e-02  2.55559e-01  3.02724e-03 
  1.35063e-02  2.51405e-01  2.86491e-03 
  1.47569e-02  2.47843e-01  2.72124e-03 
  1.60075e-02  2.42239e-01  2.59243e-03 
  1.72581e-02  2.37323e-01  2.47569e-03 
  1.85088e-02  2.35592e-01  2.36889e-03 
  1.97594e-02  2.27896e-01  2.27041e-03 
  2.10100e-02  2.24612e-01  2.17896e-03 
  2.22607e-02  2.17974e-01  2.09352e-03 
  2.35113e-02  2.14227e-01  2.01327e-03 
  2.47619e-02  2.06479e-01  1.93755e-03 
  2.60125e-02  2.04030e-01  1.86580e-03 
  2.72632e-02  1.98728e-01  1.79757e-03 
  2.85138e-02  1.93611e-01  1.73247e-03 
  2.97644e-02  1.85857e-01  1.67019e-03 
  3.10150e-02  1.79264e-01  1.61045e-03 
  3.22657e-02  1.74891e-01  1.55302e-03 
  3.35163e-02  1.67836e-01  1.49770e-03 
  3.47669e-02  1.63126e-01  1.44433e-03 
  3.60175e-02  1.53843e-01  1.39276e-03 
  3.72682e-02  1.49750e-01  1.34287e-03 
  3.85188e-02  1.44647e-01  1.29453e-03 
  3.97694e-02  1.38982e-01  1.24767e-03 
  4.10201e-02  1.32549e-01  1.20219e-03 
  4.22707e-02  1.27506e-01  1.15802e-03 
  4.35213e-02  1.21743e-01  1.11511e-03 
  4.47719e-02  1.17545e-01  1.07339e-03 
  4.60226e-02  1.09219e-01  1.03282e-03 
  4.72732e-02  1.04634e-01  9.93352e-04 
  4.85238e-02  1.00678e-01  9.54951e-04 
  4.97744e-02  9.23806e-02  9.17582e-04 
  5.10251e-02  9.00909e-02  8.81218e-04 
  5.22757e-02  8.47339e-02  8.45831e-04 
  5.35263e-02  7.89708e-02  8.11398e-04 
  5.47769e-02  7.37510e-02  7.77898e-04 
  5.60276e-02  6.97892e-02  7.45315e-04 
  5.72782e-02  6.58939e-02  7.13629e-04 
  5.85288e-02  6.12319e-02  6.82828e-04 
  5.97794e-02  5.74714e-02  6.52897e-04 
  6.10301e-02  5.34854e-02  6.23824e-04 
  6.22807e-02  4.84060e-02  5.95599e-04 
