# x y z sld
16.219394 4.224137 -17.861097 1.000000
11.972023 -22.856362 -5.884638 1.000000
-0.999666 6.074208 -29.482489 1.000000
-17.374248 -7.729682 16.890058 1.000000
-36.421380 1.463049 11.615700 1.000000
-3.667156 -2.587165 -12.420468 1.000000
-6.736778 34.921577 5.949131 1.000000
9.646240 24.298522 5.643218 1.000000
-4.302202 20.773761 -4.778816 1.000000
-3.158475 -22.382195 -23.459796 1.000000
17.528694 -4.660315 31.070348 1.000000
-27.431878 -15.566942 -10.458710 1.000000
13.559524 29.134669 -14.802696 1.000000
14.175001 2.677996 13.899171 1.000000
8.139009 21.469669 20.863470 1.000000
-8.840002 0.392916 -31.836717 1.000000
12.778858 9.300292 17.919287 1.000000
5.355967 0.169493 -39.525737 1.000000
-16.423282 29.237539 -17.366308 1.000000
29.429579 -12.000014 17.574177 1.000000
32.379691 -12.165557 -20.007810 1.000000
-3.246727 -15.120055 -34.053441 1.000000
-27.365026 -13.646580 -21.996378 1.000000
39.180489 6.864983 0.366972 1.000000
8.110160 5.459830 -22.344059 1.000000
-12.479750 4.109497 14.499426 1.000000
-2.930355 -13.106250 -17.073749 1.000000
21.410806 25.593721 -20.758604 1.000000
-4.516141 -10.037379 -14.864356 1.000000
-26.166073 2.511019 28.404117 1.000000
-16.234294 20.847964 17.430724 1.000000
9.055491 26.725052 -17.112594 1.000000
-0.783934 16.531424 28.310785 1.000000
-15.381921 -29.314056 -13.980738 1.000000
-9.890026 -6.619276 13.788242 1.000000
-23.542464 30.054347 -1.194832 1.000000
-19.013643 -27.122341 13.167975 1.000000
21.035898 -29.647461 3.060368 1.000000
20.254644 3.736602 1.807711 1.000000
-0.701559 -28.497833 -17.560619 1.000000
7.655056 8.151999 33.825587 1.000000
-13.565437 -26.468883 -17.123900 1.000000
6.193445 29.486819 -2.403314 1.000000
-3.844069 -31.651450 -21.157451 1.000000
1.155054 -2.181818 -16.552012 1.000000
-25.886222 4.592425 -7.131879 1.000000
-0.886014 9.567682 -12.686676 1.000000
-5.639484 7.391131 31.016729 1.000000
-1.203846 23.655166 -14.903068 1.000000
-21.870111 5.845571 -25.196718 1.000000
0.534212 -31.603445 -7.379033 1.000000
-5.600020 -23.141409 18.074637 1.000000
7.976902 24.018908 -8.292841 1.000000
-3.913708 -7.759423 -16.469884 1.000000
13.967383 3.872447 3.531562 1.000000
-17.925500 18.944011 -2.382069 1.000000
-14.338721 -14.915534 -18.182097 1.000000
-3.107082 12.294654 27.131254 1.000000
0.580411 31.948757 21.668274 1.000000
-14.225392 -3.122893 5.389709 1.000000
20.227217 -2.683765 9.544098 1.000000
-7.970800 18.056614 12.596709 1.000000
-3.485307 32.323452 9.354212 1.000000
-3.501859 -7.196858 7.222291 1.000000
-3.651496 22.757950 -23.844157 1.000000
-20.517393 27.327824 12.822168 1.000000
-2.437687 29.516889 18.756662 1.000000
-10.851673 10.975746 0.953501 1.000000
25.313305 4.837421 8.794531 1.000000
3.858044 -15.492560 10.422126 1.000000
-7.813671 -16.657548 24.809285 1.000000
-6.845686 -37.031547 0.626788 1.000000
14.838202 19.733909 15.120907 1.000000
27.187188 14.807141 5.922284 1.000000
-9.915462 10.856085 6.737112 1.000000
-19.462776 -21.802286 12.417557 1.000000
9.040403 -1.726913 -15.986606 1.000000
-0.619327 26.866658 19.220487 1.000000
