# Theoretical SAS data
# q            I           
  1.00000e-06  1.00000e+00 
  6.00020e-06  9.99997e-01 
  1.10004e-05  9.99988e-01 
  1.60006e-05  9.99976e-01 
  2.10008e-05  9.99958e-01 
  2.60010e-05  9.99936e-01 
  3.10012e-05  9.99908e-01 
  3.60014e-05  9.99876e-01 
  4.10016e-05  9.99840e-01 
  4.60018e-05  9.99798e-01 
  5.10020e-05  9.99752e-01 
  5.60022e-05  9.99701e-01 
  6.10024e-05  9.99645e-01 
  6.60026e-05  9.99585e-01 
  7.10028e-05  9.99519e-01 
  7.60030e-05  9.99449e-01 
  8.10032e-05  9.99374e-01 
  8.60034e-05  9.99295e-01 
  9.10036e-05  9.99210e-01 
  9.60038e-05  9.99121e-01 
  1.01004e-04  9.99027e-01 
  1.06004e-04  9.98929e-01 
  1.11004e-04  9.98825e-01 
  1.16005e-04  9.98717e-01 
  1.21005e-04  9.98604e-01 
  1.26005e-04  9.98487e-01 
  1.31005e-04  9.98364e-01 
  1.36005e-04  9.98237e-01 
  1.41006e-04  9.98105e-01 
  1.46006e-04  9.97969e-01 
  1.51006e-04  9.97827e-01 
  1.56006e-04  9.97681e-01 
  1.61006e-04  9.97531e-01 
  1.66007e-04  9.97375e-01 
  1.71007e-04  9.97215e-01 
  1.76007e-04  9.97050e-01 
  1.81007e-04  9.96880e-01 
  1.86007e-04  9.96706e-01 
  1.91008e-04  9.96526e-01 
  1.96008e-04  9.96343e-01 
  2.01008e-04  9.96154e-01 
  2.06008e-04  9.95961e-01 
  2.11008e-04  9.95763e-01 
  2.16009e-04  9.95560e-01 
  2.21009e-04  9.95353e-01 
  2.26009e-04  9.95141e-01 
  2.31009e-04  9.94924e-01 
  2.36009e-04  9.94702e-01 
  2.41010e-04  9.94476e-01 
  2.46010e-04  9.94246e-01 
  2.51010e-04  9.94010e-01 
  2.56010e-04  9.93770e-01 
  2.61010e-04  9.93525e-01 
  2.66011e-04  9.93276e-01 
  2.71011e-04  9.93021e-01 
  2.76011e-04  9.92763e-01 
  2.81011e-04  9.92499e-01 
  2.86011e-04  9.92231e-01 
  2.91012e-04  9.91958e-01 
  2.96012e-04  9.91681e-01 
  3.01012e-04  9.91399e-01 
  3.06012e-04  9.91112e-01 
  3.11012e-04  9.90821e-01 
  3.16013e-04  9.90525e-01 
  3.21013e-04  9.90225e-01 
  3.26013e-04  9.89920e-01 
  3.31013e-04  9.89610e-01 
  3.36013e-04  9.89296e-01 
  3.41014e-04  9.88977e-01 
  3.46014e-04  9.88653e-01 
  3.51014e-04  9.88325e-01 
  3.56014e-04  9.87992e-01 
  3.61014e-04  9.87655e-01 
  3.66015e-04  9.87313e-01 
  3.71015e-04  9.86967e-01 
  3.76015e-04  9.86616e-01 
  3.81015e-04  9.86261e-01 
  3.86015e-04  9.85901e-01 
  3.91016e-04  9.85536e-01 
  3.96016e-04  9.85167e-01 
  4.01016e-04  9.84793e-01 
  4.06016e-04  9.84415e-01 
  4.11016e-04  9.84032e-01 
  4.16017e-04  9.83645e-01 
  4.21017e-04  9.83254e-01 
  4.26017e-04  9.82857e-01 
  4.31017e-04  9.82457e-01 
  4.36017e-04  9.82052e-01 
  4.41018e-04  9.81642e-01 
  4.46018e-04  9.81228e-01 
  4.51018e-04  9.80809e-01 
  4.56018e-04  9.80386e-01 
  4.61018e-04  9.79959e-01 
  4.66019e-04  9.79527e-01 
  4.71019e-04  9.79091e-01 
  4.76019e-04  9.78650e-01 
  4.81019e-04  9.78205e-01 
  4.86019e-04  9.77755e-01 
  4.91020e-04  9.77301e-01 
  4.96020e-04  9.76843e-01 
  5.01020e-04  9.76380e-01 
  5.06020e-04  9.75913e-01 
  5.11020e-04  9.75441e-01 
  5.16021e-04  9.74965e-01 
  5.21021e-04  9.74485e-01 
  5.26021e-04  9.74000e-01 
  5.31021e-04  9.73512e-01 
  5.36021e-04  9.73018e-01 
  5.41022e-04  9.72521e-01 
  5.46022e-04  9.72019e-01 
  5.51022e-04  9.71512e-01 
  5.56022e-04  9.71002e-01 
  5.61022e-04  9.70487e-01 
  5.66023e-04  9.69968e-01 
  5.71023e-04  9.69444e-01 
  5.76023e-04  9.68917e-01 
  5.81023e-04  9.68385e-01 
  5.86023e-04  9.67848e-01 
  5.91024e-04  9.67308e-01 
  5.96024e-04  9.66763e-01 
  6.01024e-04  9.66214e-01 
  6.06024e-04  9.65661e-01 
  6.11024e-04  9.65104e-01 
  6.16025e-04  9.64542e-01 
  6.21025e-04  9.63976e-01 
  6.26025e-04  9.63406e-01 
  6.31025e-04  9.62832e-01 
  6.36025e-04  9.62254e-01 
  6.41026e-04  9.61672e-01 
  6.46026e-04  9.61085e-01 
  6.51026e-04  9.60494e-01 
  6.56026e-04  9.59899e-01 
  6.61026e-04  9.59300e-01 
  6.66027e-04  9.58697e-01 
  6.71027e-04  9.58090e-01 
  6.76027e-04  9.57479e-01 
  6.81027e-04  9.56864e-01 
  6.86027e-04  9.56244e-01 
  6.91028e-04  9.55621e-01 
  6.96028e-04  9.54993e-01 
  7.01028e-04  9.54362e-01 
  7.06028e-04  9.53726e-01 
  7.11028e-04  9.53087e-01 
  7.16029e-04  9.52443e-01 
  7.21029e-04  9.51795e-01 
  7.26029e-04  9.51144e-01 
  7.31029e-04  9.50488e-01 
  7.36029e-04  9.49829e-01 
  7.41030e-04  9.49165e-01 
  7.46030e-04  9.48498e-01 
  7.51030e-04  9.47826e-01 
  7.56030e-04  9.47151e-01 
  7.61030e-04  9.46472e-01 
  7.66031e-04  9.45789e-01 
  7.71031e-04  9.45102e-01 
  7.76031e-04  9.44411e-01 
  7.81031e-04  9.43716e-01 
  7.86031e-04  9.43018e-01 
  7.91032e-04  9.42315e-01 
  7.96032e-04  9.41609e-01 
  8.01032e-04  9.40899e-01 
  8.06032e-04  9.40185e-01 
  8.11032e-04  9.39468e-01 
  8.16033e-04  9.38746e-01 
  8.21033e-04  9.38021e-01 
  8.26033e-04  9.37292e-01 
  8.31033e-04  9.36559e-01 
  8.36033e-04  9.35822e-01 
  8.41034e-04  9.35082e-01 
  8.46034e-04  9.34338e-01 
  8.51034e-04  9.33591e-01 
  8.56034e-04  9.32839e-01 
  8.61034e-04  9.32084e-01 
  8.66035e-04  9.31326e-01 
  8.71035e-04  9.30563e-01 
  8.76035e-04  9.29797e-01 
  8.81035e-04  9.29028e-01 
  8.86035e-04  9.28254e-01 
  8.91036e-04  9.27477e-01 
  8.96036e-04  9.26697e-01 
  9.01036e-04  9.25913e-01 
  9.06036e-04  9.25125e-01 
  9.11036e-04  9.24334e-01 
  9.16037e-04  9.23539e-01 
  9.21037e-04  9.22741e-01 
  9.26037e-04  9.21939e-01 
  9.31037e-04  9.21134e-01 
  9.36037e-04  9.20325e-01 
  9.41038e-04  9.19513e-01 
  9.46038e-04  9.18697e-01 
  9.51038e-04  9.17878e-01 
  9.56038e-04  9.17055e-01 
  9.61038e-04  9.16229e-01 
  9.66039e-04  9.15400e-01 
  9.71039e-04  9.14567e-01 
  9.76039e-04  9.13731e-01 
  9.81039e-04  9.12891e-01 
  9.86039e-04  9.12048e-01 
  9.91040e-04  9.11201e-01 
  9.96040e-04  9.10352e-01 
  1.00104e-03  9.09499e-01 
  1.00604e-03  9.08642e-01 
  1.01104e-03  9.07783e-01 
  1.01604e-03  9.06920e-01 
  1.02104e-03  9.06053e-01 
  1.02604e-03  9.05184e-01 
  1.03104e-03  9.04311e-01 
  1.03604e-03  9.03435e-01 
  1.04104e-03  9.02556e-01 
  1.04604e-03  9.01674e-01 
  1.05104e-03  9.00788e-01 
  1.05604e-03  8.99899e-01 
  1.06104e-03  8.99008e-01 
  1.06604e-03  8.98112e-01 
  1.07104e-03  8.97214e-01 
  1.07604e-03  8.96313e-01 
  1.08104e-03  8.95409e-01 
  1.08604e-03  8.94501e-01 
  1.09104e-03  8.93591e-01 
  1.09604e-03  8.92677e-01 
  1.10104e-03  8.91760e-01 
  1.10604e-03  8.90841e-01 
  1.11104e-03  8.89918e-01 
  1.11604e-03  8.88992e-01 
  1.12104e-03  8.88063e-01 
  1.12605e-03  8.87132e-01 
  1.13105e-03  8.86197e-01 
  1.13605e-03  8.85259e-01 
  1.14105e-03  8.84319e-01 
  1.14605e-03  8.83375e-01 
  1.15105e-03  8.82429e-01 
  1.15605e-03  8.81480e-01 
  1.16105e-03  8.80528e-01 
  1.16605e-03  8.79573e-01 
  1.17105e-03  8.78615e-01 
  1.17605e-03  8.77654e-01 
  1.18105e-03  8.76691e-01 
  1.18605e-03  8.75725e-01 
  1.19105e-03  8.74756e-01 
  1.19605e-03  8.73784e-01 
  1.20105e-03  8.72809e-01 
  1.20605e-03  8.71832e-01 
  1.21105e-03  8.70852e-01 
  1.21605e-03  8.69869e-01 
  1.22105e-03  8.68884e-01 
  1.22605e-03  8.67896e-01 
  1.23105e-03  8.66905e-01 
  1.23605e-03  8.65911e-01 
  1.24105e-03  8.64915e-01 
  1.24605e-03  8.63917e-01 
  1.25105e-03  8.62915e-01 
  1.25605e-03  8.61912e-01 
  1.26105e-03  8.60905e-01 
  1.26605e-03  8.59896e-01 
  1.27105e-03  8.58885e-01 
  1.27605e-03  8.57871e-01 
  1.28105e-03  8.56854e-01 
  1.28605e-03  8.55835e-01 
  1.29105e-03  8.54813e-01 
  1.29605e-03  8.53790e-01 
  1.30105e-03  8.52763e-01 
  1.30605e-03  8.51734e-01 
  1.31105e-03  8.50703e-01 
  1.31605e-03  8.49669e-01 
  1.32105e-03  8.48633e-01 
  1.32605e-03  8.47595e-01 
  1.33105e-03  8.46554e-01 
  1.33605e-03  8.45511e-01 
  1.34105e-03  8.44465e-01 
  1.34605e-03  8.43418e-01 
  1.35105e-03  8.42368e-01 
  1.35605e-03  8.41315e-01 
  1.36105e-03  8.40261e-01 
  1.36605e-03  8.39204e-01 
  1.37105e-03  8.38145e-01 
  1.37606e-03  8.37084e-01 
  1.38106e-03  8.36020e-01 
  1.38606e-03  8.34955e-01 
  1.39106e-03  8.33887e-01 
  1.39606e-03  8.32817e-01 
  1.40106e-03  8.31745e-01 
  1.40606e-03  8.30671e-01 
  1.41106e-03  8.29595e-01 
  1.41606e-03  8.28517e-01 
  1.42106e-03  8.27436e-01 
  1.42606e-03  8.26354e-01 
  1.43106e-03  8.25269e-01 
  1.43606e-03  8.24183e-01 
  1.44106e-03  8.23094e-01 
  1.44606e-03  8.22004e-01 
  1.45106e-03  8.20912e-01 
  1.45606e-03  8.19817e-01 
  1.46106e-03  8.18721e-01 
  1.46606e-03  8.17623e-01 
  1.47106e-03  8.16523e-01 
  1.47606e-03  8.15421e-01 
  1.48106e-03  8.14317e-01 
  1.48606e-03  8.13211e-01 
  1.49106e-03  8.12104e-01 
  1.49606e-03  8.10994e-01 
  1.50106e-03  8.09883e-01 
  1.50606e-03  8.08770e-01 
  1.51106e-03  8.07655e-01 
  1.51606e-03  8.06539e-01 
  1.52106e-03  8.05421e-01 
  1.52606e-03  8.04301e-01 
  1.53106e-03  8.03179e-01 
  1.53606e-03  8.02056e-01 
  1.54106e-03  8.00931e-01 
  1.54606e-03  7.99805e-01 
  1.55106e-03  7.98676e-01 
  1.55606e-03  7.97546e-01 
  1.56106e-03  7.96415e-01 
  1.56606e-03  7.95282e-01 
  1.57106e-03  7.94147e-01 
  1.57606e-03  7.93011e-01 
  1.58106e-03  7.91874e-01 
  1.58606e-03  7.90734e-01 
  1.59106e-03  7.89594e-01 
  1.59606e-03  7.88451e-01 
  1.60106e-03  7.87308e-01 
  1.60606e-03  7.86163e-01 
  1.61106e-03  7.85016e-01 
  1.61606e-03  7.83868e-01 
  1.62106e-03  7.82719e-01 
  1.62607e-03  7.81568e-01 
  1.63107e-03  7.80416e-01 
  1.63607e-03  7.79262e-01 
  1.64107e-03  7.78108e-01 
  1.64607e-03  7.76952e-01 
  1.65107e-03  7.75794e-01 
  1.65607e-03  7.74635e-01 
  1.66107e-03  7.73475e-01 
  1.66607e-03  7.72314e-01 
  1.67107e-03  7.71152e-01 
  1.67607e-03  7.69988e-01 
  1.68107e-03  7.68823e-01 
  1.68607e-03  7.67657e-01 
  1.69107e-03  7.66490e-01 
  1.69607e-03  7.65322e-01 
  1.70107e-03  7.64152e-01 
  1.70607e-03  7.62982e-01 
  1.71107e-03  7.61810e-01 
  1.71607e-03  7.60637e-01 
  1.72107e-03  7.59463e-01 
  1.72607e-03  7.58288e-01 
  1.73107e-03  7.57112e-01 
  1.73607e-03  7.55936e-01 
  1.74107e-03  7.54758e-01 
  1.74607e-03  7.53579e-01 
  1.75107e-03  7.52399e-01 
  1.75607e-03  7.51218e-01 
  1.76107e-03  7.50036e-01 
  1.76607e-03  7.48854e-01 
  1.77107e-03  7.47670e-01 
  1.77607e-03  7.46486e-01 
  1.78107e-03  7.45300e-01 
  1.78607e-03  7.44114e-01 
  1.79107e-03  7.42927e-01 
  1.79607e-03  7.41739e-01 
  1.80107e-03  7.40551e-01 
  1.80607e-03  7.39361e-01 
  1.81107e-03  7.38171e-01 
  1.81607e-03  7.36980e-01 
  1.82107e-03  7.35789e-01 
  1.82607e-03  7.34596e-01 
  1.83107e-03  7.33403e-01 
  1.83607e-03  7.32210e-01 
  1.84107e-03  7.31015e-01 
  1.84607e-03  7.29820e-01 
  1.85107e-03  7.28625e-01 
  1.85607e-03  7.27429e-01 
  1.86107e-03  7.26232e-01 
  1.86607e-03  7.25034e-01 
  1.87107e-03  7.23836e-01 
  1.87608e-03  7.22638e-01 
  1.88108e-03  7.21439e-01 
  1.88608e-03  7.20239e-01 
  1.89108e-03  7.19039e-01 
  1.89608e-03  7.17839e-01 
  1.90108e-03  7.16638e-01 
  1.90608e-03  7.15436e-01 
  1.91108e-03  7.14234e-01 
  1.91608e-03  7.13032e-01 
  1.92108e-03  7.11829e-01 
  1.92608e-03  7.10626e-01 
  1.93108e-03  7.09423e-01 
  1.93608e-03  7.08219e-01 
  1.94108e-03  7.07015e-01 
  1.94608e-03  7.05811e-01 
  1.95108e-03  7.04606e-01 
  1.95608e-03  7.03401e-01 
  1.96108e-03  7.02196e-01 
  1.96608e-03  7.00990e-01 
  1.97108e-03  6.99784e-01 
  1.97608e-03  6.98578e-01 
  1.98108e-03  6.97372e-01 
  1.98608e-03  6.96166e-01 
  1.99108e-03  6.94959e-01 
  1.99608e-03  6.93753e-01 
  2.00108e-03  6.92546e-01 
  2.00608e-03  6.91339e-01 
  2.01108e-03  6.90132e-01 
  2.01608e-03  6.88925e-01 
  2.02108e-03  6.87718e-01 
  2.02608e-03  6.86510e-01 
  2.03108e-03  6.85303e-01 
  2.03608e-03  6.84096e-01 
  2.04108e-03  6.82889e-01 
  2.04608e-03  6.81681e-01 
  2.05108e-03  6.80474e-01 
  2.05608e-03  6.79267e-01 
  2.06108e-03  6.78060e-01 
  2.06608e-03  6.76853e-01 
  2.07108e-03  6.75646e-01 
  2.07608e-03  6.74439e-01 
  2.08108e-03  6.73232e-01 
  2.08608e-03  6.72026e-01 
  2.09108e-03  6.70819e-01 
  2.09608e-03  6.69613e-01 
  2.10108e-03  6.68407e-01 
  2.10608e-03  6.67201e-01 
  2.11108e-03  6.65995e-01 
  2.11608e-03  6.64790e-01 
  2.12108e-03  6.63584e-01 
  2.12609e-03  6.62380e-01 
  2.13109e-03  6.61175e-01 
  2.13609e-03  6.59971e-01 
  2.14109e-03  6.58766e-01 
  2.14609e-03  6.57563e-01 
  2.15109e-03  6.56359e-01 
  2.15609e-03  6.55156e-01 
  2.16109e-03  6.53954e-01 
  2.16609e-03  6.52751e-01 
  2.17109e-03  6.51550e-01 
  2.17609e-03  6.50348e-01 
  2.18109e-03  6.49147e-01 
  2.18609e-03  6.47947e-01 
  2.19109e-03  6.46747e-01 
