# Simulated SAS data with noise
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  1.00000e-06  1.32084e+02  7.62854e+00 
  6.00020e-06  1.27524e+02  3.11428e+00 
  1.10004e-05  1.30193e+02  2.30004e+00 
  1.60006e-05  1.29550e+02  1.90708e+00 
  2.10008e-05  1.31349e+02  1.66462e+00 
  2.60010e-05  1.29113e+02  1.49600e+00 
  3.10012e-05  1.31569e+02  1.37004e+00 
  3.60014e-05  1.30035e+02  1.27132e+00 
  4.10016e-05  1.30283e+02  1.19126e+00 
  4.60018e-05  1.30703e+02  1.12463e+00 
  5.10020e-05  1.31437e+02  1.06806e+00 
  5.60022e-05  1.29905e+02  1.01923e+00 
  6.10024e-05  1.32100e+02  9.76543e-01 
  6.60026e-05  1.32094e+02  9.38795e-01 
  7.10028e-05  1.31236e+02  9.05106e-01 
  7.60030e-05  1.30616e+02  8.74796e-01 
  8.10032e-05  1.31082e+02  8.47334e-01 
  8.60034e-05  1.30268e+02  8.22301e-01 
  9.10036e-05  1.30887e+02  7.99357e-01 
  9.60038e-05  1.30882e+02  7.78228e-01 
  1.01004e-04  1.29884e+02  7.58684e-01 
  1.06004e-04  1.31039e+02  7.40538e-01 
  1.11004e-04  1.30065e+02  7.23630e-01 
  1.16005e-04  1.29724e+02  7.07824e-01 
  1.21005e-04  1.31715e+02  6.93006e-01 
  1.26005e-04  1.31387e+02  6.79077e-01 
  1.31005e-04  1.31020e+02  6.65951e-01 
  1.36005e-04  1.30184e+02  6.53553e-01 
  1.41006e-04  1.30824e+02  6.41818e-01 
  1.46006e-04  1.30970e+02  6.30689e-01 
  1.51006e-04  1.30315e+02  6.20115e-01 
  1.56006e-04  1.30884e+02  6.10052e-01 
  1.61006e-04  1.30833e+02  6.00459e-01 
  1.66007e-04  1.29742e+02  5.91301e-01 
  1.71007e-04  1.30670e+02  5.82545e-01 
  1.76007e-04  1.31022e+02  5.74163e-01 
  1.81007e-04  1.30701e+02  5.66129e-01 
  1.86007e-04  1.30729e+02  5.58419e-01 
  1.91008e-04  1.30410e+02  5.51012e-01 
  1.96008e-04  1.31405e+02  5.43888e-01 
  2.01008e-04  1.29729e+02  5.37030e-01 
  2.06008e-04  1.30196e+02  5.30421e-01 
  2.11008e-04  1.31252e+02  5.24047e-01 
  2.16009e-04  1.30359e+02  5.17893e-01 
  2.21009e-04  1.30553e+02  5.11948e-01 
  2.26009e-04  1.30471e+02  5.06199e-01 
  2.31009e-04  1.29629e+02  5.00636e-01 
  2.36009e-04  1.30632e+02  4.95250e-01 
  2.41010e-04  1.29085e+02  4.90030e-01 
  2.46010e-04  1.30592e+02  4.84968e-01 
  2.51010e-04  1.29220e+02  4.80056e-01 
  2.56010e-04  1.30284e+02  4.75288e-01 
  2.61010e-04  1.29688e+02  4.70655e-01 
  2.66011e-04  1.30040e+02  4.66152e-01 
  2.71011e-04  1.29838e+02  4.61773e-01 
  2.76011e-04  1.30344e+02  4.57511e-01 
  2.81011e-04  1.29298e+02  4.53363e-01 
  2.86011e-04  1.29983e+02  4.49321e-01 
  2.91012e-04  1.29999e+02  4.45383e-01 
  2.96012e-04  1.29897e+02  4.41544e-01 
  3.01012e-04  1.30068e+02  4.37799e-01 
  3.06012e-04  1.29371e+02  4.34145e-01 
  3.11012e-04  1.29537e+02  4.30577e-01 
  3.16013e-04  1.29663e+02  4.27094e-01 
  3.21013e-04  1.29446e+02  4.23690e-01 
  3.26013e-04  1.29312e+02  4.20364e-01 
  3.31013e-04  1.29802e+02  4.17111e-01 
  3.36013e-04  1.29799e+02  4.13930e-01 
  3.41014e-04  1.30088e+02  4.10818e-01 
  3.46014e-04  1.29090e+02  4.07773e-01 
  3.51014e-04  1.29284e+02  4.04791e-01 
