# x y z sld
96.978368 -576.413847 108.210072 1.000000
-121.437817 -543.527264 -162.902566 1.000000
-147.177603 -443.775891 -191.764470 1.000000
-85.496447 -390.098174 159.904053 1.000000
45.334191 -589.395851 33.317604 1.000000
166.826860 -577.113240 -38.010789 1.000000
-100.172498 -369.432183 -80.444512 1.000000
-110.860803 -580.053286 -116.613458 1.000000
-174.898474 -490.064269 24.825753 1.000000
211.534076 -607.929406 -15.445210 1.000000
68.890944 -639.865380 -60.194167 1.000000
102.451495 -458.833363 125.407498 1.000000
-163.425834 -518.862482 -64.395680 1.000000
-154.374643 -404.807169 -21.905971 1.000000
-83.042054 -419.184742 81.371233 1.000000
-35.115201 -604.119927 -20.165732 1.000000
90.720339 -638.194714 83.111699 1.000000
91.920414 -703.212060 -84.657532 1.000000
-10.885600 -495.342958 -105.039349 1.000000
207.845295 -599.666192 5.383995 1.000000
150.392725 -419.273950 29.189958 1.000000
-95.540382 -409.017617 -95.798756 1.000000
113.787026 -686.871798 -76.925789 1.000000
172.004356 -642.015964 34.679792 1.000000
-40.307832 -653.457778 143.802059 1.000000
-10.684113 -490.657857 -231.386216 1.000000
148.806318 -388.346843 -96.668886 1.000000
117.442173 -516.297102 180.810028 1.000000
113.488165 -431.698473 14.969385 1.000000
184.320928 -614.813647 18.078632 1.000000
-118.452214 -313.683997 2.307734 1.000000
84.866570 -586.173342 198.281757 1.000000
133.794567 -572.804238 -90.652659 1.000000
49.759805 -563.923337 -220.217232 1.000000
-16.037573 -595.275787 -224.805885 1.000000
-79.498591 -387.626222 -97.581719 1.000000
-68.156166 -590.640055 158.019900 1.000000
-210.688979 -583.658387 28.723690 1.000000
-2.945654 -409.698134 -160.362189 1.000000
81.139612 -512.336320 170.277184 1.000000
233.448344 -458.715383 70.412069 1.000000
-231.283353 -428.324773 -32.809767 1.000000
142.968889 -427.135196 125.598814 1.000000
106.865249 -354.491145 147.328600 1.000000
1.288358 -533.934306 19.965702 1.000000
-192.598089 -504.189098 4.005620 1.000000
-1.179420 -702.894889 -69.984239 1.000000
-11.454349 -427.352576 79.958984 1.000000
